Appling, John W Davis, Democrat, 82.49
Fulton, John W Davis, Democrat, 61.96
Gilmer, Calvin Coolidge, Republican, 54.03
Glascock, John W Davis, Democrat, 54.15
Glynn, John W Davis, Democrat, 63.09
Gordon, John W Davis, Democrat, 65.3
Grady, John W Davis, Democrat, 92.06
Greene, John W Davis, Democrat, 71.45
Gwinnett, John W Davis, Democrat, 75.79
Habersham, John W Davis, Democrat, 67.79
Hall, John W Davis, Democrat, 75.04
Hancock, John W Davis, Democrat, 88.31
Haralson, Calvin Coolidge, Republican, 54.01
Harris, John W Davis, Democrat, 88.39
Hart, John W Davis, Democrat, 76.72
Heard, John W Davis, Democrat, 88.62
Henry, John W Davis, Democrat, 83.19
Houston, John W Davis, Democrat, 94.27
Irwin, John W Davis, Democrat, 82.72
Jackson, John W Davis, Democrat, 81.8
Jasper, John W Davis, Democrat, 85.33
Jeff Davis, John W Davis, Democrat, 73.05
Jefferson, John W Davis, Democrat, 73.61
Jenkins, John W Davis, Democrat, 83.33
Johnson, John W Davis, Democrat, 77.34
Jones, John W Davis, Democrat, 93.45
Lamar, John W Davis, Democrat, 89.46
Lanier, John W Davis, Democrat, 88.34
Laurens, John W Davis, Democrat, 86.76
Lee, John W Davis, Democrat, 86.12
Liberty, John W Davis, Democrat, 80.29
Lincoln, John W Davis, Democrat, 67.01
Long, John W Davis, Democrat, 88.48
Lowndes, John W Davis, Democrat, 90.42
Lumpkin, John W Davis, Democrat, 74.69
Macon, John W Davis, Democrat, 86.53
Madison, John W Davis, Democrat, 73.47
Marion, John W Davis, Democrat, 84.74
McDuffie, John W Davis, Democrat, 47.68
McIntosh, John W Davis, Democrat, 73.41
Meriwether, John W Davis, Democrat, 66.57
Miller, John W Davis, Democrat, 68.85
Milton, John W Davis, Democrat, 68.29
Mitchell, John W Davis, Democrat, 87.83
Monroe, John W Davis, Democrat, 87.61
Montgomery, John W Davis, Democrat, 77.92
Morgan, John W Davis, Democrat, 77.86
Murray, John W Davis, Democrat, 53.43
Muscogee, John W Davis, Democrat, 85.59
Newton, John W Davis, Democrat, 75.37
Oconee, John W Davis, Democrat, 72.09
Oglethorpe, John W Davis, Democrat, 88.96
Paulding, John W Davis, Democrat, 45.4
Pickens, Calvin Coolidge, Republican, 60.25
Pierce, John W Davis, Democrat, 79.24
Pike, John W Davis, Democrat, 88.79
Polk, John W Davis, Democrat, 55.73
Pulaski, John W Davis, Democrat, 89.84
Putnam, John W Davis, Democrat, 97.65
Quitman, John W Davis, Democrat, 92
Rabun, John W Davis, Democrat, 76.56
Randolph, John W Davis, Democrat, 78.96
Richmond, John W Davis, Democrat, 56.43
Rockdale, John W Davis, Democrat, 88.02
Schley, John W Davis, Democrat, 94.66
Screven, John W Davis, Democrat, 71.7
Seminole, John W Davis, Democrat, 82.04
Spalding, John W Davis, Democrat, 88.52
Stephens, John W Davis, Democrat, 87.31
Stewart, John W Davis, Democrat, 87.74
Sumter, John W Davis, Democrat, 83.79
Talbot, John W Davis, Democrat, 93.35
Taliaferro, John W Davis, Democrat, 77.82
Tattnall, John W Davis, Democrat, 83.65
Taylor, John W Davis, Democrat, 76.13
Telfair, John W Davis, Democrat, 78.66
Terrell, John W Davis, Democrat, 90.52
Thomas, John W Davis, Democrat, 87.49
Tift, John W Davis, Democrat, 87.73
Toombs, John W Davis, Democrat, 83.07
Towns, Calvin Coolidge, Republican, 55.76
Treutlen, John W Davis, Democrat, 88.1
Troup, John W Davis, Democrat, 84.44
Turner, John W Davis, Democrat, 63.06
Twiggs, John W Davis, Democrat, 85.8
Union, John W Davis, Democrat, 50.61
Upson, John W Davis, Democrat, 83.3
Walker, John W Davis, Democrat, 65.12
Walton, John W Davis, Democrat, 85.17
Ware, John W Davis, Democrat, 75
Warren, John W Davis, Democrat, 65.37
Washington, John W Davis, Democrat, 78.55
Wayne, John W Davis, Democrat, 81.31
Webster, John W Davis, Democrat, 87.5
Wheeler, John W Davis, Democrat, 88.84
White, John W Davis, Democrat, 73.23
Whitfield, John W Davis, Democrat, 61.92
Wilcox, John W Davis, Democrat, 87.96
Wilkes, John W Davis, Democrat, 77.77
Wilkinson, John W Davis, Democrat, 80.45
Worth, John W Davis, Democrat, 84.27
