Anderson, Calvin Coolidge, Republican, 47.19
Duval, John W Davis, Democrat, 92.14
Eastland, John W Davis, Democrat, 80.04
Ector, John W Davis, Democrat, 89.03
Edwards, Calvin Coolidge, Republican, 61.35
El Paso, John W Davis, Democrat, 54.9
Ellis, John W Davis, Democrat, 84.93
Erath, John W Davis, Democrat, 85.89
Falls, John W Davis, Democrat, 81.51
Fannin, John W Davis, Democrat, 86.6
Fayette, John W Davis, Democrat, 59.66
Fisher, John W Davis, Democrat, 82.12
Floyd, John W Davis, Democrat, 85.99
Foard, John W Davis, Democrat, 81.82
Fort Bend, John W Davis, Democrat, 75.11
Franklin, John W Davis, Democrat, 86.6
Freestone, John W Davis, Democrat, 78.31
Frio, John W Davis, Democrat, 78.84
Gaines, John W Davis, Democrat, 77.55
Galveston, John W Davis, Democrat, 66.52
Garza, John W Davis, Democrat, 62.29
Gillespie, Robert M La Follette, Progressive, 58.55
Glasscock, John W Davis, Democrat, 81.65
Goliad, John W Davis, Democrat, 54.99
Gonzales, John W Davis, Democrat, 75.96
Gray, John W Davis, Democrat, 51.14
Grayson, John W Davis, Democrat, 71.73
Gregg, John W Davis, Democrat, 76.96
Grimes, John W Davis, Democrat, 91.09
Guadalupe, Calvin Coolidge, Republican, 40.52
Hale, John W Davis, Democrat, 70.85
Hall, John W Davis, Democrat, 78.34
Hamilton, John W Davis, Democrat, 87.45
Hansford, John W Davis, Democrat, 72.45
Hardeman, John W Davis, Democrat, 78.05
Hardin, John W Davis, Democrat, 66.55
Harris, John W Davis, Democrat, 63.57
Harrison, John W Davis, Democrat, 78.88
Hartley, John W Davis, Democrat, 64.2
Haskell, John W Davis, Democrat, 78.66
Hays, John W Davis, Democrat, 77.36
Hemphill, John W Davis, Democrat, 62.99
Henderson, John W Davis, Democrat, 88.73
Hidalgo, John W Davis, Democrat, 75.16
Hill, John W Davis, Democrat, 86.39
Hockley, John W Davis, Democrat, 73.4
Hood, John W Davis, Democrat, 85.51
Hopkins, John W Davis, Democrat, 85.97
Houston, John W Davis, Democrat, 86.92
Howard, John W Davis, Democrat, 76.02
Hudspeth, John W Davis, Democrat, 59.15
Hunt, John W Davis, Democrat, 87.43
Hutchinson, John W Davis, Democrat, 67.95
Irion, John W Davis, Democrat, 71.18
Jack, John W Davis, Democrat, 78.5
Jackson, John W Davis, Democrat, 64.84
Jasper, John W Davis, Democrat, 88.77
Jeff Davis, John W Davis, Democrat, 63.59
Jefferson, John W Davis, Democrat, 55.09
Jim Hogg, John W Davis, Democrat, 87.97
Jim Wells, John W Davis, Democrat, 65.93
Johnson, John W Davis, Democrat, 79.85
Jones, John W Davis, Democrat, 81.86
Karnes, John W Davis, Democrat, 69.19
Kaufman, John W Davis, Democrat, 85.33
Kendall, Calvin Coolidge, Republican, 55.93
Kenedy, John W Davis, Democrat, 89.33
Kent, John W Davis, Democrat, 81.43
Kerr, Calvin Coolidge, Republican, 49.31
Kimble, John W Davis, Democrat, 65.77
King, John W Davis, Democrat, 95.4
Kinney, Calvin Coolidge, Republican, 50.16
Kleberg, John W Davis, Democrat, 63.52
Knox, John W Davis, Democrat, 72.3
La Salle, John W Davis, Democrat, 84.66
Lamar, John W Davis, Democrat, 87.37
Lamb, John W Davis, Democrat, 70.22
Lampasas, John W Davis, Democrat, 86.46
Lavaca, John W Davis, Democrat, 62.42
Lee, John W Davis, Democrat, 68.35
Leon, John W Davis, Democrat, 83.71
Liberty, John W Davis, Democrat, 68.8
Limestone, John W Davis, Democrat, 89.58
Lipscomb, John W Davis, Democrat, 45.31
Live Oak, John W Davis, Democrat, 57.2
Llano, John W Davis, Democrat, 86.17
Loving, John W Davis, Democrat, 85.71
Lubbock, John W Davis, Democrat, 73.93
Lynn, John W Davis, Democrat, 75.35
Madison, John W Davis, Democrat, 91.34
Marion, John W Davis, Democrat, 58.99
Martin, John W Davis, Democrat, 76.76
Mason, John W Davis, Democrat, 53.48
Matagorda, John W Davis, Democrat, 56.99
Maverick, Calvin Coolidge, Republican, 53.16
McCulloch, John W Davis, Democrat, 71.96
McLennan, John W Davis, Democrat, 73.52
McMullen, Calvin Coolidge, Republican, 49.78
Medina, John W Davis, Democrat, 43.26
Menard, John W Davis, Democrat, 52.6
Midland, John W Davis, Democrat, 89.26
Milam, John W Davis, Democrat, 80.31
Mills, John W Davis, Democrat, 85.08
Mitchell, John W Davis, Democrat, 85.89
Montague, John W Davis, Democrat, 68.4
Montgomery, John W Davis, Democrat, 88.81
Moore, John W Davis, Democrat, 89.13
Morris, John W Davis, Democrat, 81.76
Motley, John W Davis, Democrat, 86.29
Nacogdoches, John W Davis, Democrat, 93.16
Navarro, John W Davis, Democrat, 85.66
Newton, John W Davis, Democrat, 82.49
Nolan, John W Davis, Democrat, 77.23
Nueces, John W Davis, Democrat, 65.89
Ochiltree, John W Davis, Democrat, 62.63
Oldham, John W Davis, Democrat, 68.75
Orange, John W Davis, Democrat, 71.65
Palo Pinto, John W Davis, Democrat, 73.2
Panola, John W Davis, Democrat, 93.51
Parker, John W Davis, Democrat, 80.26
Parmer, John W Davis, Democrat, 62.76
Pecos, John W Davis, Democrat, 66.47
Polk, John W Davis, Democrat, 85.85
Potter, John W Davis, Democrat, 62.82
Presidio, John W Davis, Democrat, 76.72
Rains, John W Davis, Democrat, 81.88
Randall, John W Davis, Democrat, 74.2
Reagan, John W Davis, Democrat, 77.08
Real, Calvin Coolidge, Republican, 60.24
Red River, John W Davis, Democrat, 89.84
Reeves, John W Davis, Democrat, 75.59
Refugio, John W Davis, Democrat, 62.63
Roberts, John W Davis, Democrat, 69.45
Robertson, John W Davis, Democrat, 64.6
Rockwall, John W Davis, Democrat, 93.2
Runnels, John W Davis, Democrat, 81.09
Rusk, John W Davis, Democrat, 81.18
Sabine, John W Davis, Democrat, 94.42
San Augustine, John W Davis, Democrat, 94.43
San Jacinto, John W Davis, Democrat, 83.57
San Patricio, John W Davis, Democrat, 52.89
San Saba, John W Davis, Democrat, 89.94
Schleicher, John W Davis, Democrat, 67.4
Scurry, John W Davis, Democrat, 80.25
Shackelford, John W Davis, Democrat, 50.07
Shelby, John W Davis, Democrat, 92.16
Sherman, John W Davis, Democrat, 62.67
Smith, John W Davis, Democrat, 78.16
Somervell, John W Davis, Democrat, 85.93
Starr, John W Davis, Democrat, 97.05
Stephens, John W Davis, Democrat, 82.07
Sterling, John W Davis, Democrat, 90.33
Stonewall, John W Davis, Democrat, 72.91
Sutton, John W Davis, Democrat, 53.16
Swisher, John W Davis, Democrat, 65.19
Tarrant, John W Davis, Democrat, 61.73
Taylor, John W Davis, Democrat, 86.26
Terrell, Calvin Coolidge, Republican, 38.61
Terry, John W Davis, Democrat, 82.22
Throckmorton, John W Davis, Democrat, 74.97
Titus, John W Davis, Democrat, 81.7
Tom Green, John W Davis, Democrat, 75.73
Travis, John W Davis, Democrat, 77.06
Trinity, John W Davis, Democrat, 88.89
Tyler, John W Davis, Democrat, 88.98
Upshur, John W Davis, Democrat, 89.69
Upton, John W Davis, Democrat, 87.5
Uvalde, John W Davis, Democrat, 76.5
Val Verde, Calvin Coolidge, Republican, 45.79
Van Zandt, John W Davis, Democrat, 79.16
Victoria, John W Davis, Democrat, 68.36
Walker, John W Davis, Democrat, 89.78
Waller, John W Davis, Democrat, 84.8
Ward, John W Davis, Democrat, 75.18
Washington, John W Davis, Democrat, 86.25
Webb, John W Davis, Democrat, 73.19
Wharton, John W Davis, Democrat, 67.58
Wheeler, John W Davis, Democrat, 78.89
Wichita, John W Davis, Democrat, 68.75
Wilbarger, John W Davis, Democrat, 77.44
Willacy, John W Davis, Democrat, 70.74
Williamson, John W Davis, Democrat, 83.45
Wilson, John W Davis, Democrat, 66.54
Winkler, John W Davis, Democrat, 93.75
Wise, John W Davis, Democrat, 81.24
Wood, John W Davis, Democrat, 85.55
Yoakum, John W Davis, Democrat, 84.82
Young, John W Davis, Democrat, 84.28
Zapata, John W Davis, Democrat, 60.24
Zavala, John W Davis, Democrat, 71.96
