Anderson, Herbert Hoover, Republican, 50.94
Coryell, Al Smith, Democrat, 53.74
Cottle, Herbert Hoover, Republican, 51.19
Crane, Al Smith, Democrat, 55.59
Crockett, Herbert Hoover, Republican, 81.97
Crosby, Herbert Hoover, Republican, 57.97
Culberson, Al Smith, Democrat, 54.14
Dallam, Herbert Hoover, Republican, 53
Dallas, Herbert Hoover, Republican, 60.89
Dawson, Herbert Hoover, Republican, 77.23
Deaf Smith, Herbert Hoover, Republican, 58.1
Delta, Al Smith, Democrat, 55.93
Denton, Herbert Hoover, Republican, 51.89
DeWitt, Al Smith, Democrat, 58.15
Dickens, Herbert Hoover, Republican, 64.1
Dimmit, Herbert Hoover, Republican, 70.81
Donley, Herbert Hoover, Republican, 68.9
Duval, Al Smith, Democrat, 74.15
Eastland, Herbert Hoover, Republican, 56.38
Ector, Herbert Hoover, Republican, 52.66
Edwards, Herbert Hoover, Republican, 89.66
Ellis, Al Smith, Democrat, 55.12
El Paso, Al Smith, Democrat, 50.26
Erath, Herbert Hoover, Republican, 56.94
Falls, Al Smith, Democrat, 73.75
Fannin, Al Smith, Democrat, 54.29
Fayette, Al Smith, Democrat, 84.01
Fisher, Herbert Hoover, Republican, 60.07
Floyd, Herbert Hoover, Republican, 63.84
Foard, Al Smith, Democrat, 51.49
Fort Bend, Al Smith, Democrat, 73.14
Franklin, Al Smith, Democrat, 64.88
Freestone, Al Smith, Democrat, 52.74
Frio, Herbert Hoover, Republican, 72.21
Gaines, Herbert Hoover, Republican, 69.03
Galveston, Al Smith, Democrat, 57.38
Garza, Herbert Hoover, Republican, 73.59
Gillespie, Herbert Hoover, Republican, 55.12
Glasscock, Herbert Hoover, Republican, 78.48
Goliad, Herbert Hoover, Republican, 54.1
Gonzales, Al Smith, Democrat, 54.26
Gray, Herbert Hoover, Republican, 65.35
Grayson, Herbert Hoover, Republican, 57.63
Gregg, Al Smith, Democrat, 60.58
Grimes, Al Smith, Democrat, 62.63
Guadalupe, Al Smith, Democrat, 56.42
Hale, Herbert Hoover, Republican, 65.98
Hall, Herbert Hoover, Republican, 74.08
Hamilton, Al Smith, Democrat, 51.62
Hansford, Herbert Hoover, Republican, 56.58
Hardeman, Herbert Hoover, Republican, 59.43
Hardin, Al Smith, Democrat, 52.04
Harris, Herbert Hoover, Republican, 55.7
Harrison, Al Smith, Democrat, 53.18
Hartley, Herbert Hoover, Republican, 52.34
Haskell, Al Smith, Democrat, 51.51
Hays, Herbert Hoover, Republican, 63.7
Hemphill, Herbert Hoover, Republican, 60.67
Henderson, Al Smith, Democrat, 60.48
Hidalgo, Herbert Hoover, Republican, 51.41
Hill, Herbert Hoover, Republican, 50.34
Hockley, Herbert Hoover, Republican, 75.82
Hood, Herbert Hoover, Republican, 57.09
Hopkins, Al Smith, Democrat, 51.01
Houston, Al Smith, Democrat, 63.65
Howard, Herbert Hoover, Republican, 54.86
Hudspeth, Herbert Hoover, Republican, 51.25
Hunt, Al Smith, Democrat, 53.84
Hutchinson, Herbert Hoover, Republican, 60.43
Irion, Herbert Hoover, Republican, 68.52
Jack, Herbert Hoover, Republican, 70.22
Jackson, Herbert Hoover, Republican, 54.68
Jasper, Al Smith, Democrat, 59.43
Jeff Davis, Herbert Hoover, Republican, 58.15
Jefferson, Herbert Hoover, Republican, 56.74
Jim Hogg, Al Smith, Democrat, 70.7
Jim Wells, Al Smith, Democrat, 63.68
Johnson, Herbert Hoover, Republican, 61.58
Jones, Herbert Hoover, Republican, 55.95
Karnes, Al Smith, Democrat, 55.17
Kaufman, Al Smith, Democrat, 60.73
Kendall, Herbert Hoover, Republican, 63.63
Kenedy, Al Smith, Democrat, 90.77
Kent, Herbert Hoover, Republican, 69.01
Kerr, Herbert Hoover, Republican, 73.36
Kimble, Herbert Hoover, Republican, 80.39
King, Herbert Hoover, Republican, 65.38
Kinney, Al Smith, Democrat, 52.36
Kleberg, Herbert Hoover, Republican, 51.94
Knox, Herbert Hoover, Republican, 55.7
Lamar, Herbert Hoover, Republican, 57.08
Lamb, Herbert Hoover, Republican, 74.21
Lampasas, Herbert Hoover, Republican, 60.91
La Salle, Al Smith, Democrat, 59.43
Lavaca, Al Smith, Democrat, 75.73
Lee, Al Smith, Democrat, 72.37
Leon, Al Smith, Democrat, 61.27
Liberty, Herbert Hoover, Republican, 53.63
Limestone, Al Smith, Democrat, 61.36
Lipscomb, Herbert Hoover, Republican, 69.35
Live Oak, Herbert Hoover, Republican, 55.82
Llano, Al Smith, Democrat, 53.93
Loving, Al Smith, Democrat, 62.5
Lubbock, Herbert Hoover, Republican, 60.79
Lynn, Herbert Hoover, Republican, 62.49
McCulloch, Herbert Hoover, Republican, 63.59
McLennan, Herbert Hoover, Republican, 51.81
McMullen, Herbert Hoover, Republican, 50
Madison, Al Smith, Democrat, 55.39
Marion, Al Smith, Democrat, 59.1
Martin, Herbert Hoover, Republican, 60.77
Mason, Herbert Hoover, Republican, 76.64
Matagorda, Herbert Hoover, Republican, 58.85
Maverick, Herbert Hoover, Republican, 63.34
Medina, Al Smith, Democrat, 52.87
Menard, Herbert Hoover, Republican, 71.57
Midland, Al Smith, Democrat, 50
Milam, Al Smith, Democrat, 69.05
Mills, Herbert Hoover, Republican, 63.65
Mitchell, Herbert Hoover, Republican, 59.57
Montague, Herbert Hoover, Republican, 51.13
Montgomery, Al Smith, Democrat, 59.58
Moore, Al Smith, Democrat, 58.77
Morris, Al Smith, Democrat, 73.1
Motley, Herbert Hoover, Republican, 56.32
Nacogdoches, Al Smith, Democrat, 69.52
Navarro, Al Smith, Democrat, 52.2
Newton, Al Smith, Democrat, 58.63
Nolan, Herbert Hoover, Republican, 58.76
Nueces, Al Smith, Democrat, 54.58
Ochiltree, Herbert Hoover, Republican, 67.31
Oldham, Herbert Hoover, Republican, 52.28
Orange, Al Smith, Democrat, 57.57
Palo Pinto, Herbert Hoover, Republican, 63.28
Panola, Al Smith, Democrat, 75.62
Parker, Herbert Hoover, Republican, 66.24
Parmer, Herbert Hoover, Republican, 65.75
Pecos, Al Smith, Democrat, 51.47
Polk, Al Smith, Democrat, 66
Potter, Herbert Hoover, Republican, 57.9
Presidio, Al Smith, Democrat, 55.36
Rains, Al Smith, Democrat, 72.44
Randall, Herbert Hoover, Republican, 52.66
Reagan, Herbert Hoover, Republican, 62.82
Real, Herbert Hoover, Republican, 83.02
Red River, Al Smith, Democrat, 58.7
Reeves, Al Smith, Democrat, 53.39
Refugio, Al Smith, Democrat, 63.66
Roberts, Herbert Hoover, Republican, 70.03
Robertson, Al Smith, Democrat, 66.41
Rockwall, Al Smith, Democrat, 74.63
Runnels, Herbert Hoover, Republican, 52.26
Rusk, Al Smith, Democrat, 62.64
Sabine, Al Smith, Democrat, 65.82
San Augustine, Al Smith, Democrat, 63.74
San Jacinto, Al Smith, Democrat, 62.88
San Patricio, Herbert Hoover, Republican, 70.56
San Saba, Al Smith, Democrat, 52.44
Schleicher, Herbert Hoover, Republican, 62.36
Scurry, Herbert Hoover, Republican, 77.49
Shackelford, Herbert Hoover, Republican, 51.1
Shelby, Al Smith, Democrat, 74.06
Sherman, Herbert Hoover, Republican, 64.42
Smith, Herbert Hoover, Republican, 59.85
Somervell, Herbert Hoover, Republican, 63.93
Starr, Al Smith, Democrat, 90.31
Stephens, Herbert Hoover, Republican, 60.6
Sterling, Al Smith, Democrat, 57.79
Stonewall, Al Smith, Democrat, 53.08
Sutton, Herbert Hoover, Republican, 75.92
Swisher, Herbert Hoover, Republican, 70.34
Tarrant, Herbert Hoover, Republican, 68.99
Taylor, Herbert Hoover, Republican, 68.07
Terrell, Herbert Hoover, Republican, 80.71
Terry, Herbert Hoover, Republican, 60.45
Throckmorton, Herbert Hoover, Republican, 69.81
Titus, Al Smith, Democrat, 71.01
Tom Green, Herbert Hoover, Republican, 63.11
Travis, Herbert Hoover, Republican, 51.83
Trinity, Al Smith, Democrat, 60.07
Tyler, Al Smith, Democrat, 69.02
Upshur, Al Smith, Democrat, 70.27
Upton, Herbert Hoover, Republican, 58.82
Uvalde, Herbert Hoover, Republican, 62.1
Val Verde, Herbert Hoover, Republican, 57.94
Van Zandt, Al Smith, Democrat, 54.02
Victoria, Al Smith, Democrat, 72.06
Walker, Al Smith, Democrat, 60.49
Waller, Al Smith, Democrat, 57.21
Ward, Al Smith, Democrat, 54.24
Washington, Al Smith, Democrat, 90.06
Webb, Al Smith, Democrat, 67.71
Wharton, Al Smith, Democrat, 57.31
Wheeler, Herbert Hoover, Republican, 57.86
Wichita, Herbert Hoover, Republican, 59.82
Wilbarger, Herbert Hoover, Republican, 52.3
Willacy, Al Smith, Democrat, 50.45
Williamson, Al Smith, Democrat, 66.7
Wilson, Al Smith, Democrat, 70.67
Winkler, Al Smith, Democrat, 65.68
Wise, Herbert Hoover, Republican, 66.2
Wood, Al Smith, Democrat, 58.62
Yoakum, Herbert Hoover, Republican, 56.58
Young, Herbert Hoover, Republican, 58.88
Zapata, Al Smith, Democrat, 93.97
Zavala, Herbert Hoover, Republican, 71.38
