Anderson, Franklin D Roosevelt, Democrat, 79.32
Coleman, Franklin D Roosevelt, Democrat, 77.94
Collin, Franklin D Roosevelt, Democrat, 78.79
Collingsworth, Franklin D Roosevelt, Democrat, 79.79
Colorado, Franklin D Roosevelt, Democrat, 48.97
Comal, Thomas E Dewey, Republican, 67.61
Comanche, Franklin D Roosevelt, Democrat, 77.66
Concho, Franklin D Roosevelt, Democrat, 79.91
Cooke, Franklin D Roosevelt, Democrat, 66.22
Coryell, Franklin D Roosevelt, Democrat, 79.71
Cottle, Franklin D Roosevelt, Democrat, 91.89
Crane, Franklin D Roosevelt, Democrat, 86.38
Crockett, Franklin D Roosevelt, Democrat, 65.65
Crosby, Franklin D Roosevelt, Democrat, 79.5
Culberson, Franklin D Roosevelt, Democrat, 79.68
Dallam, Franklin D Roosevelt, Democrat, 69.44
Dallas, Franklin D Roosevelt, Democrat, 64.77
Dawson, Franklin D Roosevelt, Democrat, 74.83
Deaf Smith, Franklin D Roosevelt, Democrat, 61.88
Delta, Franklin D Roosevelt, Democrat, 85.86
Denton, Franklin D Roosevelt, Democrat, 78.54
DeWitt, Franklin D Roosevelt, Democrat, 45
Dickens, Franklin D Roosevelt, Democrat, 86.06
Dimmit, Franklin D Roosevelt, Democrat, 56.7
Donley, Franklin D Roosevelt, Democrat, 74.9
Duval, Franklin D Roosevelt, Democrat, 95.31
Eastland, Franklin D Roosevelt, Democrat, 75.87
Ector, Franklin D Roosevelt, Democrat, 73.28
Edwards, Franklin D Roosevelt, Democrat, 59.39
Ellis, Franklin D Roosevelt, Democrat, 85.08
El Paso, Franklin D Roosevelt, Democrat, 72.69
Erath, Franklin D Roosevelt, Democrat, 79.84
Falls, Franklin D Roosevelt, Democrat, 75.63
Fannin, Franklin D Roosevelt, Democrat, 83.54
Fayette, Franklin D Roosevelt, Democrat, 52.34
Fisher, Franklin D Roosevelt, Democrat, 87.52
Floyd, Franklin D Roosevelt, Democrat, 71.73
Foard, Franklin D Roosevelt, Democrat, 85.65
Fort Bend, Franklin D Roosevelt, Democrat, 69.87
Franklin, Franklin D Roosevelt, Democrat, 83.45
Freestone, Franklin D Roosevelt, Democrat, 80.31
Frio, Franklin D Roosevelt, Democrat, 69.47
Gaines, Franklin D Roosevelt, Democrat, 79.74
Galveston, Franklin D Roosevelt, Democrat, 77.94
Garza, Franklin D Roosevelt, Democrat, 72.65
Gillespie, Thomas E Dewey, Republican, 82.56
Glasscock, Franklin D Roosevelt, Democrat, 68.77
Goliad, Franklin D Roosevelt, Democrat, 47.55
Gonzales, Franklin D Roosevelt, Democrat, 70.33
Gray, Franklin D Roosevelt, Democrat, 61.48
Grayson, Franklin D Roosevelt, Democrat, 82.7
Gregg, Franklin D Roosevelt, Democrat, 70.52
Grimes, Franklin D Roosevelt, Democrat, 79.14
Guadalupe, Thomas E Dewey, Republican, 58.85
Hale, Franklin D Roosevelt, Democrat, 70.02
Hall, Franklin D Roosevelt, Democrat, 85.96
Hamilton, Franklin D Roosevelt, Democrat, 71.63
Hansford, Franklin D Roosevelt, Democrat, 70.07
Hardeman, Franklin D Roosevelt, Democrat, 80.81
Hardin, Franklin D Roosevelt, Democrat, 84.2
Harris, Franklin D Roosevelt, Democrat, 68.27
Harrison, Franklin D Roosevelt, Democrat, 71.63
Hartley, Franklin D Roosevelt, Democrat, 93.08
Haskell, Franklin D Roosevelt, Democrat, 83.46
Hays, Franklin D Roosevelt, Democrat, 69.6
Hemphill, Franklin D Roosevelt, Democrat, 69.29
Henderson, Franklin D Roosevelt, Democrat, 76.28
Hidalgo, Franklin D Roosevelt, Democrat, 59.26
Hill, Franklin D Roosevelt, Democrat, 81.48
Hockley, Franklin D Roosevelt, Democrat, 78.44
Hood, Franklin D Roosevelt, Democrat, 81.73
Hopkins, Franklin D Roosevelt, Democrat, 81.64
Houston, Franklin D Roosevelt, Democrat, 74.03
Howard, Franklin D Roosevelt, Democrat, 82.79
Hudspeth, Franklin D Roosevelt, Democrat, 84.09
Hunt, Franklin D Roosevelt, Democrat, 77.14
Hutchinson, Franklin D Roosevelt, Democrat, 72.14
Irion, Franklin D Roosevelt, Democrat, 80.13
Jack, Franklin D Roosevelt, Democrat, 75.52
Jackson, Franklin D Roosevelt, Democrat, 74.39
Jasper, Franklin D Roosevelt, Democrat, 76.23
Jeff Davis, Franklin D Roosevelt, Democrat, 79.38
Jefferson, Franklin D Roosevelt, Democrat, 75.88
Jim Hogg, Franklin D Roosevelt, Democrat, 86.96
Jim Wells, Franklin D Roosevelt, Democrat, 59.79
Johnson, Franklin D Roosevelt, Democrat, 80.68
Jones, Franklin D Roosevelt, Democrat, 83
Karnes, Franklin D Roosevelt, Democrat, 67.23
Kaufman, Franklin D Roosevelt, Democrat, 82.77
Kendall, Thomas E Dewey, Republican, 75.88
Kenedy, Thomas E Dewey, Republican, 73.17
Kent, Franklin D Roosevelt, Democrat, 86.93
Kerr, Franklin D Roosevelt, Democrat, 46.79
Kimble, Franklin D Roosevelt, Democrat, 70.57
King, Franklin D Roosevelt, Democrat, 89.06
Kinney, Franklin D Roosevelt, Democrat, 66.61
Kleberg, Franklin D Roosevelt, Democrat, 75.27
Knox, Franklin D Roosevelt, Democrat, 83.33
Lamar, Franklin D Roosevelt, Democrat, 81.1
Lamb, Franklin D Roosevelt, Democrat, 69.89
Lampasas, Franklin D Roosevelt, Democrat, 81.95
La Salle, Franklin D Roosevelt, Democrat, 80.47
Lavaca, Franklin D Roosevelt, Democrat, 68.74
Lee, Franklin D Roosevelt, Democrat, 43.4
Leon, Franklin D Roosevelt, Democrat, 82.67
Liberty, Franklin D Roosevelt, Democrat, 74.12
Limestone, Franklin D Roosevelt, Democrat, 84.99
Lipscomb, Franklin D Roosevelt, Democrat, 53.39
Live Oak, Franklin D Roosevelt, Democrat, 45.69
Llano, Franklin D Roosevelt, Democrat, 77.96
Loving, Franklin D Roosevelt, Democrat, 71.43
Lubbock, Franklin D Roosevelt, Democrat, 70.5
Lynn, Franklin D Roosevelt, Democrat, 78.94
Madison, Franklin D Roosevelt, Democrat, 85.31
Marion, Franklin D Roosevelt, Democrat, 76.54
Martin, Franklin D Roosevelt, Democrat, 76.88
Mason, Franklin D Roosevelt, Democrat, 54.95
Matagorda, Franklin D Roosevelt, Democrat, 60.45
Maverick, Franklin D Roosevelt, Democrat, 70.14
McCulloch, Franklin D Roosevelt, Democrat, 74.47
McLennan, Franklin D Roosevelt, Democrat, 82.31
McMullen, Franklin D Roosevelt, Democrat, 59.47
Medina, Thomas E Dewey, Republican, 47.42
Menard, Franklin D Roosevelt, Democrat, 69.16
Midland, Franklin D Roosevelt, Democrat, 57.63
Milam, Franklin D Roosevelt, Democrat, 71.11
Mills, Franklin D Roosevelt, Democrat, 78.59
Mitchell, Franklin D Roosevelt, Democrat, 86.09
Montague, Franklin D Roosevelt, Democrat, 78.17
Montgomery, Franklin D Roosevelt, Democrat, 80.17
Moore, Franklin D Roosevelt, Democrat, 71.66
Morris, Franklin D Roosevelt, Democrat, 85.98
Motley, Franklin D Roosevelt, Democrat, 79.57
Nacogdoches, Franklin D Roosevelt, Democrat, 77.14
Navarro, Franklin D Roosevelt, Democrat, 85.1
Newton, Franklin D Roosevelt, Democrat, 74.35
Nolan, Franklin D Roosevelt, Democrat, 81.96
Nueces, Franklin D Roosevelt, Democrat, 70.32
Ochiltree, Franklin D Roosevelt, Democrat, 65.93
Oldham, Franklin D Roosevelt, Democrat, 67.73
Orange, Franklin D Roosevelt, Democrat, 77.05
Palo Pinto, Franklin D Roosevelt, Democrat, 79.76
Panola, Franklin D Roosevelt, Democrat, 84.17
Parker, Franklin D Roosevelt, Democrat, 76.9
Parmer, Franklin D Roosevelt, Democrat, 58.53
Pecos, Franklin D Roosevelt, Democrat, 74.17
Polk, Franklin D Roosevelt, Democrat, 80.61
Potter, Franklin D Roosevelt, Democrat, 64.65
Presidio, Franklin D Roosevelt, Democrat, 63.28
Rains, Franklin D Roosevelt, Democrat, 68.56
Randall, Franklin D Roosevelt, Democrat, 68.04
Reagan, Franklin D Roosevelt, Democrat, 81.92
Real, Franklin D Roosevelt, Democrat, 59.38
Red River, Franklin D Roosevelt, Democrat, 78.24
Reeves, Franklin D Roosevelt, Democrat, 76.62
Refugio, Franklin D Roosevelt, Democrat, 67.51
Roberts, Franklin D Roosevelt, Democrat, 69.14
Robertson, Franklin D Roosevelt, Democrat, 88.13
Rockwall, Franklin D Roosevelt, Democrat, 84.9
Runnels, Franklin D Roosevelt, Democrat, 70.16
Rusk, Franklin D Roosevelt, Democrat, 76.45
Sabine, Franklin D Roosevelt, Democrat, 80.68
San Augustine, Franklin D Roosevelt, Democrat, 92.02
San Jacinto, Franklin D Roosevelt, Democrat, 72.5
San Patricio, Franklin D Roosevelt, Democrat, 70.61
San Saba, Franklin D Roosevelt, Democrat, 88.13
Schleicher, Franklin D Roosevelt, Democrat, 74.82
Scurry, Franklin D Roosevelt, Democrat, 80.93
Shackelford, Franklin D Roosevelt, Democrat, 75.21
Shelby, Franklin D Roosevelt, Democrat, 82.13
Sherman, Franklin D Roosevelt, Democrat, 77.74
Smith, Franklin D Roosevelt, Democrat, 69.94
Somervell, Franklin D Roosevelt, Democrat, 65.38
Starr, Franklin D Roosevelt, Democrat, 94.05
Stephens, Franklin D Roosevelt, Democrat, 75.04
Sterling, Franklin D Roosevelt, Democrat, 92.18
Stonewall, Franklin D Roosevelt, Democrat, 83.52
Sutton, Franklin D Roosevelt, Democrat, 70.6
Swisher, Franklin D Roosevelt, Democrat, 70.09
Tarrant, Franklin D Roosevelt, Democrat, 72.05
Taylor, Franklin D Roosevelt, Democrat, 81.86
Terrell, Franklin D Roosevelt, Democrat, 65.28
Terry, Franklin D Roosevelt, Democrat, 82.88
Throckmorton, Franklin D Roosevelt, Democrat, 81.93
Titus, Franklin D Roosevelt, Democrat, 84.07
Tom Green, Franklin D Roosevelt, Democrat, 75.51
Travis, Franklin D Roosevelt, Democrat, 74.8
Trinity, Franklin D Roosevelt, Democrat, 73.13
Tyler, Franklin D Roosevelt, Democrat, 72.98
Upshur, Franklin D Roosevelt, Democrat, 70.32
Upton, Franklin D Roosevelt, Democrat, 81.09
Uvalde, Franklin D Roosevelt, Democrat, 56.11
Val Verde, Franklin D Roosevelt, Democrat, 60.96
Van Zandt, Franklin D Roosevelt, Democrat, 74.65
Victoria, Franklin D Roosevelt, Democrat, 63.27
Walker, Franklin D Roosevelt, Democrat, 80.41
Waller, Franklin D Roosevelt, Democrat, 70.13
Ward, Franklin D Roosevelt, Democrat, 79.6
Washington, Other, Dixiecrat, 52.2
Webb, Franklin D Roosevelt, Democrat, 85.12
Wharton, Franklin D Roosevelt, Democrat, 74.45
Wheeler, Franklin D Roosevelt, Democrat, 71.47
Wichita, Franklin D Roosevelt, Democrat, 77.94
Wilbarger, Franklin D Roosevelt, Democrat, 76.53
Willacy, Franklin D Roosevelt, Democrat, 48.7
Williamson, Franklin D Roosevelt, Democrat, 71.11
Wilson, Franklin D Roosevelt, Democrat, 75.46
Winkler, Franklin D Roosevelt, Democrat, 84.16
Wise, Franklin D Roosevelt, Democrat, 78.26
Wood, Franklin D Roosevelt, Democrat, 75.35
Yoakum, Franklin D Roosevelt, Democrat, 77
Young, Franklin D Roosevelt, Democrat, 77.37
Zapata, Franklin D Roosevelt, Democrat, 91.59
Zavala, Franklin D Roosevelt, Democrat, 61.65
