Appling, Franklin D Roosevelt, Democrat, 77.3
Long, Franklin D Roosevelt, Democrat, 71.14
Lowndes, Franklin D Roosevelt, Democrat, 83.91
Lumpkin, Franklin D Roosevelt, Democrat, 80.87
Macon, Franklin D Roosevelt, Democrat, 84.11
Madison, Franklin D Roosevelt, Democrat, 82.22
Marion, Franklin D Roosevelt, Democrat, 87.74
McDuffie, Franklin D Roosevelt, Democrat, 80.96
McIntosh, Franklin D Roosevelt, Democrat, 72.76
Meriwether, Franklin D Roosevelt, Democrat, 92.05
Miller, Franklin D Roosevelt, Democrat, 93.2
Mitchell, Franklin D Roosevelt, Democrat, 90.6
Monroe, Franklin D Roosevelt, Democrat, 73.41
Montgomery, Franklin D Roosevelt, Democrat, 85.82
Morgan, Franklin D Roosevelt, Democrat, 95.5
Murray, Franklin D Roosevelt, Democrat, 67.2
Muscogee, Franklin D Roosevelt, Democrat, 82.86
Newton, Franklin D Roosevelt, Democrat, 94.27
Oconee, Franklin D Roosevelt, Democrat, 74.51
Oglethorpe, Franklin D Roosevelt, Democrat, 84.2
Paulding, Franklin D Roosevelt, Democrat, 63.53
Peach, Franklin D Roosevelt, Democrat, 79.57
Pickens, Thomas E Dewey, Republican, 50.48
Pierce, Franklin D Roosevelt, Democrat, 86.63
Pike, Franklin D Roosevelt, Democrat, 84.8
Polk, Franklin D Roosevelt, Democrat, 85.35
Pulaski, Franklin D Roosevelt, Democrat, 91.5
Putnam, Franklin D Roosevelt, Democrat, 90.45
Quitman, Franklin D Roosevelt, Democrat, 95.69
Rabun, Franklin D Roosevelt, Democrat, 87.08
Randolph, Franklin D Roosevelt, Democrat, 91.62
Richmond, Franklin D Roosevelt, Democrat, 85.72
Rockdale, Franklin D Roosevelt, Democrat, 90.79
Schley, Franklin D Roosevelt, Democrat, 89.89
Screven, Franklin D Roosevelt, Democrat, 81.96
Seminole, Franklin D Roosevelt, Democrat, 92.84
Spalding, Franklin D Roosevelt, Democrat, 92.79
Stephens, Franklin D Roosevelt, Democrat, 84.53
Stewart, Franklin D Roosevelt, Democrat, 88.44
Sumter, Franklin D Roosevelt, Democrat, 88.88
Talbot, Franklin D Roosevelt, Democrat, 94.87
Taliaferro, Franklin D Roosevelt, Democrat, 98.48
Tattnall, Franklin D Roosevelt, Democrat, 71.09
Taylor, Franklin D Roosevelt, Democrat, 74.18
Telfair, Franklin D Roosevelt, Democrat, 87.22
Terrell, Franklin D Roosevelt, Democrat, 97.1
Thomas, Franklin D Roosevelt, Democrat, 75.79
Tift, Franklin D Roosevelt, Democrat, 80.45
Toombs, Franklin D Roosevelt, Democrat, 88.51
Towns, Franklin D Roosevelt, Democrat, 62.78
Treutlen, Franklin D Roosevelt, Democrat, 94.3
Troup, Franklin D Roosevelt, Democrat, 90.43
Turner, Franklin D Roosevelt, Democrat, 70.41
Twiggs, Franklin D Roosevelt, Democrat, 72.89
Union, Franklin D Roosevelt, Democrat, 62.89
Upson, Franklin D Roosevelt, Democrat, 90.67
Walker, Franklin D Roosevelt, Democrat, 78.23
Walton, Franklin D Roosevelt, Democrat, 92.25
Ware, Franklin D Roosevelt, Democrat, 83.34
Warren, Franklin D Roosevelt, Democrat, 74.46
Washington, Franklin D Roosevelt, Democrat, 75.71
Wayne, Franklin D Roosevelt, Democrat, 79.51
Webster, Franklin D Roosevelt, Democrat, 81.38
Wheeler, Franklin D Roosevelt, Democrat, 77.4
White, Franklin D Roosevelt, Democrat, 81.24
Whitfield, Franklin D Roosevelt, Democrat, 73.26
Wilcox, Franklin D Roosevelt, Democrat, 86.88
Wilkes, Franklin D Roosevelt, Democrat, 85.61
Wilkinson, Franklin D Roosevelt, Democrat, 73.79
Worth, Franklin D Roosevelt, Democrat, 83.41
