Appling, Zell Miller, Democrat, 56.4
Lanier, Zell Miller, Democrat, 65.6
Laurens, Zell Miller, Democrat, 52.9
Lee, Johnny Isakson, Republican, 50.2
Liberty, Zell Miller, Democrat, 64
Lincoln, Zell Miller, Democrat, 54.4
Long, Zell Miller, Democrat, 62.4
Lowndes, Zell Miller, Democrat, 51.1
Lumpkin, Zell Miller, Democrat, 56.4
McDuffie, Johnny Isakson, Republican, 57.1
McIntosh, Zell Miller, Democrat, 75
Macon, Zell Miller, Democrat, 67.4
Madison, Zell Miller, Democrat, 52.5
Marion, Zell Miller, Democrat, 64.2
Meriwether, Zell Miller, Democrat, 66.8
Miller, Johnny Isakson, Republican, 50.6
Mitchell, Zell Miller, Democrat, 59.2
Monroe, Zell Miller, Democrat, 60.5
Montgomery, Zell Miller, Democrat, 56.6
Morgan, Zell Miller, Democrat, 54.5
Murray, Zell Miller, Democrat, 65.3
Muscogee, Zell Miller, Democrat, 64.4
Newton, Zell Miller, Democrat, 55.7
Oconee, Johnny Isakson, Republican, 53.1
Oglethorpe, Zell Miller, Democrat, 54
Paulding, Zell Miller, Democrat, 55.3
Peach, Zell Miller, Democrat, 61.1
Pickens, Zell Miller, Democrat, 55.4
Pierce, Zell Miller, Democrat, 60.5
Pike, Zell Miller, Democrat, 51.1
Polk, Zell Miller, Democrat, 54
Pulaski, Zell Miller, Democrat, 57.6
Putnam, Zell Miller, Democrat, 61.7
Quitman, Zell Miller, Democrat, 74.3
Rabun, Zell Miller, Democrat, 54.8
Randolph, Zell Miller, Democrat, 68.6
Richmond, Zell Miller, Democrat, 53.3
Rockdale, Johnny Isakson, Republican, 52.6
Schley, Zell Miller, Democrat, 50.4
Screven, Zell Miller, Democrat, 55.9
Seminole, Zell Miller, Democrat, 59.2
Spalding, Zell Miller, Democrat, 52.6
Stephens, Johnny Isakson, Republican, 50.4
Stewart, Zell Miller, Democrat, 71.1
Sumter, Zell Miller, Democrat, 49.7
Talbot, Zell Miller, Democrat, 63.4
Taliaferro, Zell Miller, Democrat, 65.2
Tattnall, Zell Miller, Democrat, 63.2
Taylor, Zell Miller, Democrat, 59.8
Telfair, Zell Miller, Democrat, 56.1
Terrell, Zell Miller, Democrat, 62.2
Thomas, Johnny Isakson, Republican, 51.1
Tift, Johnny Isakson, Republican, 51.6
Toombs, Zell Miller, Democrat, 50.6
Towns, Zell Miller, Democrat, 73.5
Treutlen, Zell Miller, Democrat, 63.4
Troup, Zell Miller, Democrat, 55.1
Turner, Zell Miller, Democrat, 60.4
Twiggs, Zell Miller, Democrat, 71.8
Union, Zell Miller, Democrat, 64.3
Upson, Zell Miller, Democrat, 54.4
Walker, Zell Miller, Democrat, 62.7
Walton, Zell Miller, Democrat, 57.4
Ware, Zell Miller, Democrat, 58.3
Warren, Zell Miller, Democrat, 54.2
Washington, Zell Miller, Democrat, 59.4
Wayne, Zell Miller, Democrat, 51.1
Webster, Zell Miller, Democrat, 65.7
Wheeler, Zell Miller, Democrat, 53.9
White, Zell Miller, Democrat, 53.3
Whitfield, Zell Miller, Democrat, 49.8
Wilcox, Zell Miller, Democrat, 57.5
Wilkes, Zell Miller, Democrat, 56.6
Wilkinson, Zell Miller, Democrat, 65.5
Worth, Zell Miller, Democrat, 51.2
