Anderson, Clayton Williams, Republican, 50.9
Jeff Davis, Clayton Williams, Republican, 60
Jefferson, Ann Richards, Democrat, 63
Jim Hogg, Ann Richards, Democrat, 77.3
Jim Wells, Ann Richards, Democrat, 66.5
Johnson, Clayton Williams, Republican, 48.6
Jones, Clayton Williams, Republican, 49.2
Karnes, Clayton Williams, Republican, 58.5
Kaufman, Ann Richards, Democrat, 48.4
Kendall, Clayton Williams, Republican, 66.3
Kenedy, Ann Richards, Democrat, 54.3
Kent, Clayton Williams, Republican, 46.3
Kerr, Clayton Williams, Republican, 63.7
Kimble, Clayton Williams, Republican, 62.6
King, Clayton Williams, Republican, 57.4
Kinney, Clayton Williams, Republican, 53.2
Kleberg, Ann Richards, Democrat, 58.5
Knox, Ann Richards, Democrat, 61.4
Lamar, Ann Richards, Democrat, 54.8
Lamb, Clayton Williams, Republican, 57.9
Lampasas, Clayton Williams, Republican, 54.2
La Salle, Ann Richards, Democrat, 68
Lavaca, Clayton Williams, Republican, 50
Lee, Clayton Williams, Republican, 59.6
Leon, Clayton Williams, Republican, 51.4
Liberty, Clayton Williams, Republican, 51
Limestone, Ann Richards, Democrat, 55.2
Lipscomb, Clayton Williams, Republican, 55.2
Live Oak, Clayton Williams, Republican, 55.8
Llano, Clayton Williams, Republican, 57.9
Loving, Clayton Williams, Republican, 67.7
Lubbock, Clayton Williams, Republican, 56.6
Lynn, Clayton Williams, Republican, 58.7
McCulloch, Clayton Williams, Republican, 51.4
McLennan, Ann Richards, Democrat, 54.4
McMullen, Clayton Williams, Republican, 67
Madison, Ann Richards, Democrat, 50.2
Marion, Ann Richards, Democrat, 57.1
Martin, Clayton Williams, Republican, 71.5
Mason, Clayton Williams, Republican, 60.4
Matagorda, Clayton Williams, Republican, 50.7
Maverick, Ann Richards, Democrat, 70.2
Medina, Clayton Williams, Republican, 56.9
Menard, Clayton Williams, Republican, 48.7
Midland, Clayton Williams, Republican, 75.7
Milam, Ann Richards, Democrat, 58.6
Mills, Clayton Williams, Republican, 52.9
Mitchell, Ann Richards, Democrat, 50.1
Montague, Ann Richards, Democrat, 49.4
Montgomery, Clayton Williams, Republican, 60.3
Moore, Clayton Williams, Republican, 56.9
Morris, Ann Richards, Democrat, 63.9
Motley, Clayton Williams, Republican, 58.6
Nacogdoches, Clayton Williams, Republican, 49.8
Navarro, Ann Richards, Democrat, 51
Newton, Ann Richards, Democrat, 69.6
Nolan, Ann Richards, Democrat, 48.6
Nueces, Ann Richards, Democrat, 58.5
Ochiltree, Clayton Williams, Republican, 72.3
Oldham, Clayton Williams, Republican, 55.2
Orange, Ann Richards, Democrat, 62.3
Palo Pinto, Ann Richards, Democrat, 48.3
Panola, Ann Richards, Democrat, 51.1
Parker, Clayton Williams, Republican, 52.7
Parmer, Clayton Williams, Republican, 62.5
Pecos, Clayton Williams, Republican, 68.4
Polk, Ann Richards, Democrat, 48.3
Potter, Clayton Williams, Republican, 49
Presidio, Ann Richards, Democrat, 61.7
Rains, Ann Richards, Democrat, 49.1
Randall, Clayton Williams, Republican, 59.3
Reagan, Clayton Williams, Republican, 75.8
Real, Clayton Williams, Republican, 59.3
Red River, Ann Richards, Democrat, 54.3
Reeves, Clayton Williams, Republican, 50.5
Refugio, Ann Richards, Democrat, 54.2
Roberts, Clayton Williams, Republican, 62.7
Robertson, Ann Richards, Democrat, 62.2
Rockwall, Clayton Williams, Republican, 59.1
Runnels, Clayton Williams, Republican, 59.3
Rusk, Clayton Williams, Republican, 54.9
Sabine, Ann Richards, Democrat, 54.9
San Augustine, Ann Richards, Democrat, 55.9
San Jacinto, Clayton Williams, Republican, 48.7
San Patricio, Ann Richards, Democrat, 52.7
San Saba, Clayton Williams, Republican, 54.3
Schleicher, Clayton Williams, Republican, 60.7
Scurry, Clayton Williams, Republican, 63.5
Shackelford, Clayton Williams, Republican, 62.4
Shelby, Ann Richards, Democrat, 57.6
Sherman, Clayton Williams, Republican, 60.3
Smith, Clayton Williams, Republican, 57.5
Somervell, Clayton Williams, Republican, 50.5
Starr, Ann Richards, Democrat, 84.1
Stephens, Clayton Williams, Republican, 59.6
Sterling, Clayton Williams, Republican, 70
Stonewall, Ann Richards, Democrat, 61.8
Sutton, Clayton Williams, Republican, 61.3
Swisher, Ann Richards, Democrat, 62.1
Tarrant, Ann Richards, Democrat, 48.9
Taylor, Clayton Williams, Republican, 56.7
Terrell, Ann Richards, Democrat, 50.1
Terry, Clayton Williams, Republican, 56.3
Throckmorton, Ann Richards, Democrat, 48.3
Titus, Ann Richards, Democrat, 54.3
Tom Green, Clayton Williams, Republican, 55.4
Travis, Ann Richards, Democrat, 65.4
Trinity, Ann Richards, Democrat, 51.3
Tyler, Ann Richards, Democrat, 57.9
Upshur, Ann Richards, Democrat, 50.1
Upton, Clayton Williams, Republican, 74.1
Uvalde, Clayton Williams, Republican, 52.4
Val Verde, Ann Richards, Democrat, 57.8
Van Zandt, Clayton Williams, Republican, 51.1
Victoria, Clayton Williams, Republican, 55.9
Walker, Ann Richards, Democrat, 49.9
Waller, Ann Richards, Democrat, 54.7
Ward, Clayton Williams, Republican, 65.5
Washington, Clayton Williams, Republican, 61.5
Webb, Ann Richards, Democrat, 74.8
Wharton, Clayton Williams, Republican, 53.5
Wheeler, Clayton Williams, Republican, 53.8
Wichita, Ann Richards, Democrat, 53.4
Wilbarger, Ann Richards, Democrat, 50.9
Willacy, Ann Richards, Democrat, 62.3
Williamson, Ann Richards, Democrat, 50.7
Wilson, Clayton Williams, Republican, 52.3
Winkler, Clayton Williams, Republican, 67.9
Wise, Ann Richards, Democrat, 48.8
Wood, Clayton Williams, Republican, 55.1
Yoakum, Clayton Williams, Republican, 60.9
Young, Clayton Williams, Republican, 53.8
Zapata, Ann Richards, Democrat, 64.9
Zavala, Ann Richards, Democrat, 79.6
