Appling, Nathan Deal, Republican, 68.8
McDuffie, Nathan Deal, Republican, 58
McIntosh, Roy Barnes, Democrat, 50.4
Macon, Roy Barnes, Democrat, 64.7
Madison, Nathan Deal, Republican, 72.1
Marion, Nathan Deal, Republican, 54
Meriwether, Nathan Deal, Republican, 53
Miller, Nathan Deal, Republican, 61.8
Mitchell, Roy Barnes, Democrat, 51.6
Monroe, Nathan Deal, Republican, 63.1
Montgomery, Nathan Deal, Republican, 67.8
Morgan, Nathan Deal, Republican, 67.8
Murray, Nathan Deal, Republican, 73.1
Muscogee, Roy Barnes, Democrat, 57.6
Newton, Nathan Deal, Republican, 50.3
Oconee, Nathan Deal, Republican, 70.5
Oglethorpe, Nathan Deal, Republican, 64.4
Paulding, Nathan Deal, Republican, 67.6
Peach, Roy Barnes, Democrat, 49.4
Pickens, Nathan Deal, Republican, 77.2
Pierce, Nathan Deal, Republican, 76.6
Pike, Nathan Deal, Republican, 77.5
Polk, Nathan Deal, Republican, 65.8
Pulaski, Nathan Deal, Republican, 62.2
Putnam, Nathan Deal, Republican, 67.6
Quitman, Roy Barnes, Democrat, 55.8
Rabun, Nathan Deal, Republican, 71.7
Randolph, Roy Barnes, Democrat, 55.9
Richmond, Roy Barnes, Democrat, 61.3
Rockdale, Roy Barnes, Democrat, 52.4
Schley, Nathan Deal, Republican, 66.8
Screven, Nathan Deal, Republican, 53.8
Seminole, Nathan Deal, Republican, 55.8
Spalding, Nathan Deal, Republican, 60.6
Stephens, Nathan Deal, Republican, 73.3
Stewart, Roy Barnes, Democrat, 64.4
Sumter, Roy Barnes, Democrat, 52.4
Talbot, Roy Barnes, Democrat, 62.4
Taliaferro, Roy Barnes, Democrat, 67.9
Tattnall, Nathan Deal, Republican, 67
Taylor, Nathan Deal, Republican, 50.3
Telfair, Nathan Deal, Republican, 49.8
Terrell, Roy Barnes, Democrat, 54.1
Thomas, Nathan Deal, Republican, 56.2
Tift, Nathan Deal, Republican, 63.8
Toombs, Nathan Deal, Republican, 67.9
Towns, Nathan Deal, Republican, 71.5
Treutlen, Nathan Deal, Republican, 60.7
Troup, Nathan Deal, Republican, 60.4
Turner, Nathan Deal, Republican, 53.1
Twiggs, Roy Barnes, Democrat, 55.6
Union, Nathan Deal, Republican, 70.9
Upson, Nathan Deal, Republican, 62.3
Walker, Nathan Deal, Republican, 73.8
Walton, Nathan Deal, Republican, 77
Ware, Nathan Deal, Republican, 65.2
Warren, Roy Barnes, Democrat, 55.6
Washington, Roy Barnes, Democrat, 49.6
Wayne, Nathan Deal, Republican, 66.2
Webster, Roy Barnes, Democrat, 53.7
Wheeler, Nathan Deal, Republican, 55.9
White, Nathan Deal, Republican, 78.3
Whitfield, Nathan Deal, Republican, 72.3
Wilcox, Nathan Deal, Republican, 62
Wilkes, Nathan Deal, Republican, 55.7
Wilkinson, Roy Barnes, Democrat, 50.1
Worth, Nathan Deal, Republican, 64.8
