Accomack, Chuck Robb, Democrat, 72.1
Stafford, Chuck Robb, Democrat, 68.6
Surry, Chuck Robb, Democrat, 77.9
Sussex, Chuck Robb, Democrat, 77.4
Tazewell, Chuck Robb, Democrat, 77.3
Warren, Chuck Robb, Democrat, 67
Washington, Chuck Robb, Democrat, 71.4
Westmoreland, Chuck Robb, Democrat, 74.2
Wise, Chuck Robb, Democrat, 75.4
Wythe, Chuck Robb, Democrat, 67
York, Chuck Robb, Democrat, 73.1
Alexandria City, Chuck Robb, Democrat, 75
Bedford City, Chuck Robb, Democrat, 72.1
Bristol City, Chuck Robb, Democrat, 76.2
Buena Vista City, Chuck Robb, Democrat, 75.7
Charlottesville City, Chuck Robb, Democrat, 75.8
Chesapeake City, Chuck Robb, Democrat, 72.1
Clifton Forge City, Chuck Robb, Democrat, 79.3
Colonial Heights City, Chuck Robb, Democrat, 70
Covington City, Chuck Robb, Democrat, 80.9
Danville City, Chuck Robb, Democrat, 66.5
Emporia City, Chuck Robb, Democrat, 75.6
Fairfax City, Chuck Robb, Democrat, 67.8
Falls Church City, Chuck Robb, Democrat, 78
Franklin City, Chuck Robb, Democrat, 77.7
Fredericksburg City, Chuck Robb, Democrat, 72.7
Galax City, Chuck Robb, Democrat, 71.2
Hampton City, Chuck Robb, Democrat, 74.2
Harrisonburg City, Chuck Robb, Democrat, 66.6
Hopewell City, Chuck Robb, Democrat, 70.8
Lexington City, Chuck Robb, Democrat, 75.6
Lynchburg City, Chuck Robb, Democrat, 66.9
Manassas City, Chuck Robb, Democrat, 61.5
Manassas Park City, Chuck Robb, Democrat, 60.6
Martinsville City, Chuck Robb, Democrat, 73.3
Newport News City, Chuck Robb, Democrat, 74.3
Norfolk City, Chuck Robb, Democrat, 79.8
Norton City, Chuck Robb, Democrat, 82.7
Petersburg City, Chuck Robb, Democrat, 75.7
Poquoson City, Chuck Robb, Democrat, 68.4
Portsmouth City, Chuck Robb, Democrat, 79.2
Radford City, Chuck Robb, Democrat, 72.8
Richmond City, Chuck Robb, Democrat, 72.1
Roanoke City, Chuck Robb, Democrat, 78.1
Salem City, Chuck Robb, Democrat, 75.2
South Boston City, Chuck Robb, Democrat, 71
Staunton City, Chuck Robb, Democrat, 64.1
Suffolk City, Chuck Robb, Democrat, 78.8
Virginia Beach City, Chuck Robb, Democrat, 70.5
Waynesboro City, Chuck Robb, Democrat, 63
Williamsburg City, Chuck Robb, Democrat, 75.9
Winchester City, Chuck Robb, Democrat, 76.5
