Accomack, George H W Bush, Republican, 43.17
Nottoway, George H W Bush, Republican, 45.45
Orange, George H W Bush, Republican, 45.64
Page, George H W Bush, Republican, 49.68
Patrick, George H W Bush, Republican, 48.98
Pittsylvania, George H W Bush, Republican, 52.38
Powhatan, George H W Bush, Republican, 54.08
Prince Edward, George H W Bush, Republican, 44.78
Prince George, George H W Bush, Republican, 50.99
Prince William, George H W Bush, Republican, 46.82
Pulaski, George H W Bush, Republican, 43.96
Rappahannock, George H W Bush, Republican, 44.33
Richmond, George H W Bush, Republican, 52.75
Roanoke, George H W Bush, Republican, 50.31
Rockbridge, George H W Bush, Republican, 43.02
Rockingham, George H W Bush, Republican, 60.56
Russell, Bill Clinton, Democrat, 56.43
Scott, George H W Bush, Republican, 46.59
Shenandoah, George H W Bush, Republican, 55.74
Smyth, George H W Bush, Republican, 47.39
Southampton, Bill Clinton, Democrat, 46.54
Spotsylvania, George H W Bush, Republican, 49.26
Stafford, George H W Bush, Republican, 50.37
Surry, Bill Clinton, Democrat, 55.66
Sussex, Bill Clinton, Democrat, 51.56
Tazewell, Bill Clinton, Democrat, 50.34
Warren, George H W Bush, Republican, 44.64
Washington, George H W Bush, Republican, 48.17
Westmoreland, Bill Clinton, Democrat, 44.32
Wise, Bill Clinton, Democrat, 51.7
Wythe, George H W Bush, Republican, 48.81
York, George H W Bush, Republican, 51.07
Alexandria City, Bill Clinton, Democrat, 58.44
Bedford City, George H W Bush, Republican, 45.29
Bristol City, George H W Bush, Republican, 48.46
Buena Vista City, Bill Clinton, Democrat, 46.5
Charlottesville City, Bill Clinton, Democrat, 58.29
Chesapeake City, George H W Bush, Republican, 46.73
Clifton Forge City, Bill Clinton, Democrat, 51.15
Colonial Heights City, George H W Bush, Republican, 63.07
Covington City, Bill Clinton, Democrat, 50.26
Danville City, George H W Bush, Republican, 48.75
Emporia City, George H W Bush, Republican, 47.18
Fairfax City, George H W Bush, Republican, 44.7
Falls Church City, Bill Clinton, Democrat, 53
Franklin City, Bill Clinton, Democrat, 50.79
Fredericksburg City, Bill Clinton, Democrat, 47.48
Galax City, George H W Bush, Republican, 46.37
Hampton City, Bill Clinton, Democrat, 46.9
Harrisonburg City, George H W Bush, Republican, 51.24
Hopewell City, George H W Bush, Republican, 47.48
Lexington City, Bill Clinton, Democrat, 49.54
Lynchburg City, George H W Bush, Republican, 50.13
Manassas City, George H W Bush, Republican, 48.89
Manassas Park City, George H W Bush, Republican, 46.05
Martinsville City, Bill Clinton, Democrat, 46.44
Newport News City, George H W Bush, Republican, 43.83
Norfolk City, Bill Clinton, Democrat, 54.47
Norton City, Bill Clinton, Democrat, 56.27
Petersburg City, Bill Clinton, Democrat, 68.18
Poquoson City, George H W Bush, Republican, 61.69
Portsmouth City, Bill Clinton, Democrat, 54.3
Radford City, Bill Clinton, Democrat, 45.62
Richmond City, Bill Clinton, Democrat, 59.75
Roanoke City, Bill Clinton, Democrat, 50.38
Salem City, George H W Bush, Republican, 48.21
South Boston City, George H W Bush, Republican, 52.05
Staunton City, George H W Bush, Republican, 54.04
Suffolk City, Bill Clinton, Democrat, 45.47
Virginia Beach City, George H W Bush, Republican, 50.03
Waynesboro City, George H W Bush, Republican, 52.57
Williamsburg City, Bill Clinton, Democrat, 49.91
Winchester City, George H W Bush, Republican, 49.77
