Anderson, George H W Bush, Republican, 38.7
Liberty, Bill Clinton, Democrat, 38.37
Limestone, Bill Clinton, Democrat, 45.16
Lipscomb, George H W Bush, Republican, 57.74
Live Oak, George H W Bush, Republican, 45.52
Llano, George H W Bush, Republican, 41.96
Loving, Ross Perot, Independent, 46.88
Lubbock, George H W Bush, Republican, 58.95
Lynn, George H W Bush, Republican, 50.78
McCulloch, Bill Clinton, Democrat, 39.9
McLennan, George H W Bush, Republican, 40.67
McMullen, George H W Bush, Republican, 61.85
Madison, Bill Clinton, Democrat, 39.99
Marion, Bill Clinton, Democrat, 50.28
Martin, George H W Bush, Republican, 49.6
Mason, George H W Bush, Republican, 45.06
Matagorda, George H W Bush, Republican, 40.47
Maverick, Bill Clinton, Democrat, 61.86
Medina, George H W Bush, Republican, 45.54
Menard, Bill Clinton, Democrat, 43.3
Midland, George H W Bush, Republican, 58.39
Milam, Bill Clinton, Democrat, 47.43
Mills, Bill Clinton, Democrat, 37.84
Mitchell, Bill Clinton, Democrat, 43.74
Montague, Bill Clinton, Democrat, 38.33
Montgomery, George H W Bush, Republican, 51.28
Moore, George H W Bush, Republican, 57.24
Morris, Bill Clinton, Democrat, 54.37
Motley, George H W Bush, Republican, 54.46
Nacogdoches, George H W Bush, Republican, 45.58
Navarro, Bill Clinton, Democrat, 40.8
Newton, Bill Clinton, Democrat, 58.99
Nolan, Bill Clinton, Democrat, 41.83
Nueces, Bill Clinton, Democrat, 45.95
Ochiltree, George H W Bush, Republican, 68.06
Oldham, George H W Bush, Republican, 59.07
Orange, Bill Clinton, Democrat, 47.11
Palo Pinto, Bill Clinton, Democrat, 36.57
Panola, Bill Clinton, Democrat, 42.33
Parker, George H W Bush, Republican, 37.54
Parmer, George H W Bush, Republican, 60.3
Pecos, George H W Bush, Republican, 40.59
Polk, Bill Clinton, Democrat, 41.69
Potter, George H W Bush, Republican, 48.64
Presidio, Bill Clinton, Democrat, 62.88
Rains, Bill Clinton, Democrat, 37.14
Randall, George H W Bush, Republican, 61.6
Reagan, George H W Bush, Republican, 52.08
Real, George H W Bush, Republican, 47.99
Red River, Bill Clinton, Democrat, 47.5
Reeves, Bill Clinton, Democrat, 56.37
Refugio, Bill Clinton, Democrat, 41.02
Roberts, George H W Bush, Republican, 63.37
Robertson, Bill Clinton, Democrat, 52.23
Rockwall, George H W Bush, Republican, 48.44
Runnels, George H W Bush, Republican, 38.09
Rusk, George H W Bush, Republican, 45.61
Sabine, Bill Clinton, Democrat, 48.91
San Augustine, Bill Clinton, Democrat, 47.6
San Jacinto, Bill Clinton, Democrat, 40.59
San Patricio, Bill Clinton, Democrat, 43.43
San Saba, George H W Bush, Republican, 34.38
Schleicher, George H W Bush, Republican, 36.72
Scurry, George H W Bush, Republican, 43.62
Shackelford, George H W Bush, Republican, 40.64
Shelby, Bill Clinton, Democrat, 45.79
Sherman, George H W Bush, Republican, 62.16
Smith, George H W Bush, Republican, 47.03
Somervell, Ross Perot, Independent, 35.16
Starr, Bill Clinton, Democrat, 82.8
Stephens, George H W Bush, Republican, 41.88
Sterling, George H W Bush, Republican, 50.79
Stonewall, Bill Clinton, Democrat, 49.87
Sutton, George H W Bush, Republican, 42.99
Swisher, Bill Clinton, Democrat, 47.91
Tarrant, George H W Bush, Republican, 38.9
Taylor, George H W Bush, Republican, 49.75
Terrell, Bill Clinton, Democrat, 51.51
Terry, George H W Bush, Republican, 52.54
Throckmorton, Bill Clinton, Democrat, 39.39
Titus, Bill Clinton, Democrat, 41.15
Tom Green, George H W Bush, Republican, 40.8
Travis, Bill Clinton, Democrat, 47.26
Trinity, Bill Clinton, Democrat, 47.11
Tyler, Bill Clinton, Democrat, 47.08
Upshur, Bill Clinton, Democrat, 39.12
Upton, George H W Bush, Republican, 51.71
Uvalde, George H W Bush, Republican, 42.55
Val Verde, Bill Clinton, Democrat, 43.18
Van Zandt, George H W Bush, Republican, 35.44
Victoria, George H W Bush, Republican, 50.26
Walker, George H W Bush, Republican, 41.84
Waller, Bill Clinton, Democrat, 47.14
Ward, George H W Bush, Republican, 40
Washington, George H W Bush, Republican, 53.6
Webb, Bill Clinton, Democrat, 58.35
Wharton, George H W Bush, Republican, 43
Wheeler, George H W Bush, Republican, 52.69
Wichita, George H W Bush, Republican, 38.53
Wilbarger, George H W Bush, Republican, 36.69
Willacy, Bill Clinton, Democrat, 60.96
Williamson, George H W Bush, Republican, 42.79
Wilson, George H W Bush, Republican, 39.13
Winkler, George H W Bush, Republican, 43.41
Wise, George H W Bush, Republican, 33.57
Wood, George H W Bush, Republican, 38.22
Yoakum, George H W Bush, Republican, 57.71
Young, George H W Bush, Republican, 37.71
Zapata, Bill Clinton, Democrat, 63.16
Zavala, Bill Clinton, Democrat, 79.06
