Accomack, Jim Gilmore, Republican, 62.3
Poquoson, Jim Gilmore, Republican, 70.5
Portsmouth, Don Beyer, Democrat, 57
Powhatan, Jim Gilmore, Republican, 71.4
Prince Edward, Jim Gilmore, Republican, 52.1
Prince George, Jim Gilmore, Republican, 65.1
Prince William, Jim Gilmore, Republican, 63.1
Pulaski, Jim Gilmore, Republican, 58.4
Radford, Don Beyer, Democrat, 49.2
Rappahannock, Jim Gilmore, Republican, 56.2
Richmond County, Jim Gilmore, Republican, 63.3
Richmond City, Don Beyer, Democrat, 62.3
Roanoke County, Jim Gilmore, Republican, 62.5
Roanoke City, Don Beyer, Democrat, 49.2
Rockbridge, Jim Gilmore, Republican, 62.4
Rockingham, Jim Gilmore, Republican, 73.1
Russell, Don Beyer, Democrat, 49.2
Salem, Jim Gilmore, Republican, 59.1
Scott, Jim Gilmore, Republican, 64.7
Shenandoah, Jim Gilmore, Republican, 71.2
Smyth, Jim Gilmore, Republican, 59.3
Southampton, Jim Gilmore, Republican, 51
Spotsylvania, Jim Gilmore, Republican, 60.1
Stafford, Jim Gilmore, Republican, 60.2
Staunton, Jim Gilmore, Republican, 60.3
Suffolk, Jim Gilmore, Republican, 53.8
Surry, Don Beyer, Democrat, 55.3
Sussex, Don Beyer, Democrat, 51.1
Tazewell, Jim Gilmore, Republican, 55.4
Virginia Beach, Jim Gilmore, Republican, 59.1
Warren, Jim Gilmore, Republican, 60.5
Washington, Jim Gilmore, Republican, 60.3
Waynesboro, Jim Gilmore, Republican, 63.6
Westmoreland, Jim Gilmore, Republican, 53.4
Williamsburg, Don Beyer, Democrat, 53.8
Winchester, Jim Gilmore, Republican, 58.7
Wise, Jim Gilmore, Republican, 52.2
Wythe, Jim Gilmore, Republican, 62.1
York, Jim Gilmore, Republican, 62.9
