Appling, Woodrow Wilson, Democrat, 71.95
Jasper, Woodrow Wilson, Democrat, 96.41
Jeff Davis, Woodrow Wilson, Democrat, 81.03
Jefferson, Woodrow Wilson, Democrat, 73.87
Jenkins, Woodrow Wilson, Democrat, 93.71
Johnson, Woodrow Wilson, Democrat, 80.79
Jones, Woodrow Wilson, Democrat, 92.34
Laurens, Woodrow Wilson, Democrat, 85.98
Lee, Woodrow Wilson, Democrat, 97.83
Liberty, Woodrow Wilson, Democrat, 65.51
Lincoln, Woodrow Wilson, Democrat, 84.52
Lowndes, Woodrow Wilson, Democrat, 92.67
Lumpkin, Woodrow Wilson, Democrat, 66.81
Macon, Woodrow Wilson, Democrat, 78.85
Madison, Woodrow Wilson, Democrat, 86.12
Marion, Woodrow Wilson, Democrat, 70.51
McDuffie, Woodrow Wilson, Democrat, 77.54
McIntosh, Woodrow Wilson, Democrat, 82.61
Meriwether, Woodrow Wilson, Democrat, 89.44
Miller, Woodrow Wilson, Democrat, 95.47
Milton, Woodrow Wilson, Democrat, 81.77
Mitchell, Woodrow Wilson, Democrat, 87.05
Monroe, Woodrow Wilson, Democrat, 86.04
Montgomery, Woodrow Wilson, Democrat, 92.01
Morgan, Woodrow Wilson, Democrat, 84.61
Murray, Woodrow Wilson, Democrat, 72.67
Muscogee, Woodrow Wilson, Democrat, 92.25
Newton, Woodrow Wilson, Democrat, 86.99
Oconee, Woodrow Wilson, Democrat, 74.96
Oglethorpe, Woodrow Wilson, Democrat, 91.63
Paulding, Eugene V Debs, Progressive, 53.52
Pickens, Woodrow Wilson, Democrat, 39.41
Pierce, Woodrow Wilson, Democrat, 81.64
Pike, Woodrow Wilson, Democrat, 81.75
Polk, Woodrow Wilson, Democrat, 62.18
Pulaski, Woodrow Wilson, Democrat, 91.41
Putnam, Woodrow Wilson, Democrat, 98.3
Quitman, Woodrow Wilson, Democrat, 88.03
Rabun, Woodrow Wilson, Democrat, 70.26
Randolph, Woodrow Wilson, Democrat, 90.72
Richmond, Woodrow Wilson, Democrat, 78.04
Rockdale, Woodrow Wilson, Democrat, 79.16
Schley, Woodrow Wilson, Democrat, 85.71
Screven, Woodrow Wilson, Democrat, 82.35
Spalding, Woodrow Wilson, Democrat, 81.23
Stephens, Woodrow Wilson, Democrat, 86.96
Stewart, Woodrow Wilson, Democrat, 92.76
Sumter, Woodrow Wilson, Democrat, 93.18
Talbot, Woodrow Wilson, Democrat, 94.28
Taliaferro, Woodrow Wilson, Democrat, 92.39
Tattnall, Woodrow Wilson, Democrat, 69.74
Taylor, Woodrow Wilson, Democrat, 70.43
Telfair, Woodrow Wilson, Democrat, 93.47
Terrell, Woodrow Wilson, Democrat, 92.74
Thomas, Woodrow Wilson, Democrat, 85.79
Tift, Woodrow Wilson, Democrat, 82.79
Toombs, Woodrow Wilson, Democrat, 78.13
Towns, Charles Evans Hughes, Republican, 56.92
Troup, Woodrow Wilson, Democrat, 81.53
Turner, Woodrow Wilson, Democrat, 55.79
Twiggs, Woodrow Wilson, Democrat, 91.25
Union, Woodrow Wilson, Democrat, 50.43
Upson, Woodrow Wilson, Democrat, 72.6
Walker, Woodrow Wilson, Democrat, 71.82
Walton, Woodrow Wilson, Democrat, 88.24
Ware, Woodrow Wilson, Democrat, 84.74
Warren, Woodrow Wilson, Democrat, 68.22
Washington, Woodrow Wilson, Democrat, 84.57
Wayne, Woodrow Wilson, Democrat, 89.49
Webster, Woodrow Wilson, Democrat, 87.63
Wheeler, Woodrow Wilson, Democrat, 83.97
White, Woodrow Wilson, Democrat, 75.62
Whitfield, Woodrow Wilson, Democrat, 60.19
Wilcox, Woodrow Wilson, Democrat, 89.39
Wilkes, Woodrow Wilson, Democrat, 91.92
Wilkinson, Woodrow Wilson, Democrat, 88.54
Worth, Woodrow Wilson, Democrat, 87.45
