#, Woodrow Wilson, Democrat, 0
Accomack County, Woodrow Wilson, Democrat, 1745
Lee County, Charles Evans Hughes, Republican, 1569
Loudoun County, Woodrow Wilson, Democrat, 1490
Louisa County, Woodrow Wilson, Democrat, 710
Lunenburg County, Woodrow Wilson, Democrat, 814
Madison County, Woodrow Wilson, Democrat, 572
Mathews County, Woodrow Wilson, Democrat, 549
Mecklenburg County, Woodrow Wilson, Democrat, 1317
Middlesex County, Woodrow Wilson, Democrat, 373
Montgomery County, Charles Evans Hughes, Republican, 891
Nansemond County, Woodrow Wilson, Democrat, 663
Nelson County, Woodrow Wilson, Democrat, 1063
New Kent County, Woodrow Wilson, Democrat, 192
Norfolk County, Woodrow Wilson, Democrat, 1612
Northampton County, Woodrow Wilson, Democrat, 802
Northumberland County, Woodrow Wilson, Democrat, 503
Nottoway County, Woodrow Wilson, Democrat, 608
Orange County, Woodrow Wilson, Democrat, 608
Page County, Woodrow Wilson, Democrat, 842
Patrick County, Woodrow Wilson, Democrat, 872
Pittsylvania County, Woodrow Wilson, Democrat, 2012
Powhatan County, Woodrow Wilson, Democrat, 233
Prince Edward County, Woodrow Wilson, Democrat, 668
Prince George County, Woodrow Wilson, Democrat, 258
Prince William County, Woodrow Wilson, Democrat, 754
Princess Anne County, Woodrow Wilson, Democrat, 515
Pulaski County, Woodrow Wilson, Democrat, 1057
Rappahannock County, Woodrow Wilson, Democrat, 401
Richmond County, Woodrow Wilson, Democrat, 329
Roanoke County, Woodrow Wilson, Democrat, 850
Rockbridge County, Woodrow Wilson, Democrat, 1049
Rockingham County, Woodrow Wilson, Democrat, 1650
Russell County, Woodrow Wilson, Democrat, 1570
Scott County, Charles Evans Hughes, Republican, 1743
Shenandoah County, Woodrow Wilson, Democrat, 1440
Smyth County, Charles Evans Hughes, Republican, 1321
Southampton County, Woodrow Wilson, Democrat, 1045
Spotsylvania County, Woodrow Wilson, Democrat, 398
Stafford County, Woodrow Wilson, Democrat, 444
Surry County, Woodrow Wilson, Democrat, 430
Sussex County, Woodrow Wilson, Democrat, 486
Tazewell County, Charles Evans Hughes, Republican, 1591
Warren County, Woodrow Wilson, Democrat, 583
Warwick County, Woodrow Wilson, Democrat, 97
Washington County, Woodrow Wilson, Democrat, 1863
Westmoreland County, Woodrow Wilson, Democrat, 338
Wise County, Charles Evans Hughes, Republican, 1862
Wythe County, Charles Evans Hughes, Republican, 1370
York County, Woodrow Wilson, Democrat, 247
Alexandria City, Woodrow Wilson, Democrat, 1038
Bristol City, Woodrow Wilson, Democrat, 489
Buena Vista City, Woodrow Wilson, Democrat, 158
Charlottesville City, Woodrow Wilson, Democrat, 618
Clifton Forge City, Woodrow Wilson, Democrat, 455
Danville City, Woodrow Wilson, Democrat, 1151
Fredericksburg City, Woodrow Wilson, Democrat, 380
Hampton City, Woodrow Wilson, Democrat, 350
Harrisonburg City, Woodrow Wilson, Democrat, 346
Hopewell City, Woodrow Wilson, Democrat, 24
Lynchburg City, Woodrow Wilson, Democrat, 1465
Newport News City, Woodrow Wilson, Democrat, 939
Norfolk City, Woodrow Wilson, Democrat, 3234
Petersburg City, Woodrow Wilson, Democrat, 1155
Portsmouth City, Woodrow Wilson, Democrat, 1368
Radford City, Woodrow Wilson, Democrat, 206
Richmond City, Woodrow Wilson, Democrat, 6987
Roanoke City, Woodrow Wilson, Democrat, 2246
Staunton City, Woodrow Wilson, Democrat, 511
Suffolk City, Woodrow Wilson, Democrat, 437
Williamsburg City, Woodrow Wilson, Democrat, 97
Winchester City, Woodrow Wilson, Democrat, 468
