Appling, John McCain, Republican, 72.68
Stephens, John McCain, Republican, 73.11
Stewart, Barack Obama, Democrat, 62
Sumter, Barack Obama, Democrat, 52.75
Talbot, Barack Obama, Democrat, 64.03
Taliaferro, Barack Obama, Democrat, 64.95
Tattnall, John McCain, Republican, 70.45
Taylor, John McCain, Republican, 56.41
Telfair, John McCain, Republican, 56.84
Terrell, Barack Obama, Democrat, 56.63
Thomas, John McCain, Republican, 57.65
Tift, John McCain, Republican, 66.15
Toombs, John McCain, Republican, 68.72
Towns, John McCain, Republican, 74.79
Treutlen, John McCain, Republican, 61.81
Troup, John McCain, Republican, 59.13
Turner, John McCain, Republican, 58.99
Twiggs, Barack Obama, Democrat, 53.15
Union, John McCain, Republican, 75.35
Upson, John McCain, Republican, 63.84
Walker, John McCain, Republican, 72.68
Walton, John McCain, Republican, 75.65
Ware, John McCain, Republican, 66.94
Warren, Barack Obama, Democrat, 58.42
Washington, Barack Obama, Democrat, 51.98
Wayne, John McCain, Republican, 71.98
Webster, John McCain, Republican, 52.93
Wheeler, John McCain, Republican, 63.71
White, John McCain, Republican, 78.68
Whitfield, John McCain, Republican, 69.48
Wilcox, John McCain, Republican, 68.26
Wilkes, John McCain, Republican, 53.54
Wilkinson, John McCain, Republican, 50.27
Worth, John McCain, Republican, 69.06
