Appling, Nathan Deal, Republican, 72.4
Troup, Nathan Deal, Republican, 59.1
Turner, Nathan Deal, Republican, 56.2
Twiggs, Jason Carter, Democrat, 54.8
Union, Nathan Deal, Republican, 76.4
Upson, Nathan Deal, Republican, 62.7
Walker, Nathan Deal, Republican, 70.2
Walton, Nathan Deal, Republican, 76.8
Ware, Nathan Deal, Republican, 66.5
Warren, Jason Carter, Democrat, 53.3
Washington, Jason Carter, Democrat, 51.3
Wayne, Nathan Deal, Republican, 69
Webster, Nathan Deal, Republican, 52.8
Wheeler, Nathan Deal, Republican, 58.4
White, Nathan Deal, Republican, 78.1
Whitfield, Nathan Deal, Republican, 66.9
Wilcox, Nathan Deal, Republican, 65.1
Wilkes, Nathan Deal, Republican, 54.8
Wilkinson, Jason Carter, Democrat, 49.4
Worth, Nathan Deal, Republican, 70.2
