Adair, Wendell Willkie, Republican, 57.42
McCracken, Franklin D Roosevelt, Democrat, 76.23
McCreary, Wendell Willkie, Republican, 71.62
McLean, Franklin D Roosevelt, Democrat, 61.33
Meade, Franklin D Roosevelt, Democrat, 67.73
Menifee, Franklin D Roosevelt, Democrat, 69.5
Mercer, Franklin D Roosevelt, Democrat, 65.92
Metcalfe, Wendell Willkie, Republican, 54.55
Monroe, Wendell Willkie, Republican, 70.33
Montgomery, Franklin D Roosevelt, Democrat, 62.06
Morgan, Franklin D Roosevelt, Democrat, 73.33
Muhlenberg, Wendell Willkie, Republican, 50.78
Nelson, Franklin D Roosevelt, Democrat, 66.45
Nicholas, Franklin D Roosevelt, Democrat, 63.5
Ohio, Wendell Willkie, Republican, 54.25
Oldham, Franklin D Roosevelt, Democrat, 69.8
Owen, Franklin D Roosevelt, Democrat, 86.39
Owsley, Wendell Willkie, Republican, 81.81
Pendleton, Franklin D Roosevelt, Democrat, 51.45
Perry, Franklin D Roosevelt, Democrat, 59.26
Pike, Franklin D Roosevelt, Democrat, 57.46
Powell, Franklin D Roosevelt, Democrat, 55.77
Pulaski, Wendell Willkie, Republican, 63.36
Robertson, Franklin D Roosevelt, Democrat, 58.63
Rockcastle, Wendell Willkie, Republican, 68.08
Rowan, Franklin D Roosevelt, Democrat, 54.1
Russell, Wendell Willkie, Republican, 70.81
Scott, Franklin D Roosevelt, Democrat, 69.05
Shelby, Franklin D Roosevelt, Democrat, 71.96
Simpson, Franklin D Roosevelt, Democrat, 74.78
Spencer, Franklin D Roosevelt, Democrat, 75.13
Taylor, Wendell Willkie, Republican, 49.8
Todd, Franklin D Roosevelt, Democrat, 69.64
Trigg, Franklin D Roosevelt, Democrat, 65.7
Trimble, Franklin D Roosevelt, Democrat, 88.58
Union, Franklin D Roosevelt, Democrat, 79.56
Warren, Franklin D Roosevelt, Democrat, 64.14
Washington, Franklin D Roosevelt, Democrat, 52.49
Wayne, Wendell Willkie, Republican, 55.72
Webster, Franklin D Roosevelt, Democrat, 66.4
Whitley, Wendell Willkie, Republican, 61.36
Wolfe, Franklin D Roosevelt, Democrat, 68.12
Woodford, Franklin D Roosevelt, Democrat, 63.36
