Accomack, Mark Warner, Democrat, 50.3
Frederick, Mark Earley, Republican, 60.3
Fredericksburg, Mark Warner, Democrat, 61
Galax, Mark Warner, Democrat, 54
Giles, Mark Warner, Democrat, 56.5
Gloucester, Mark Earley, Republican, 54.5
Goochland, Mark Earley, Republican, 51.9
Grayson, Mark Earley, Republican, 52.6
Greene, Mark Earley, Republican, 56.9
Greensville, Mark Warner, Democrat, 68.6
Halifax, Mark Warner, Democrat, 54.8
Hampton, Mark Warner, Democrat, 63.7
Hanover, Mark Earley, Republican, 61.1
Harrisonburg, Mark Earley, Republican, 51.5
Henrico, Mark Warner, Democrat, 51.4
Henry, Mark Warner, Democrat, 61.4
Highland, Mark Earley, Republican, 51.2
Hopewell, Mark Warner, Democrat, 49.4
Isle of Wight, Mark Warner, Democrat, 49.9
James City, Mark Earley, Republican, 50.2
King and Queen, Mark Warner, Democrat, 57.3
King George, Mark Earley, Republican, 50.1
King William, Mark Earley, Republican, 49.9
Lancaster, Mark Earley, Republican, 53.5
Lee, Mark Warner, Democrat, 53.3
Lexington, Mark Warner, Democrat, 64.6
Loudoun, Mark Earley, Republican, 53.4
Louisa, Mark Warner, Democrat, 53.7
Lunenburg, Mark Warner, Democrat, 54.7
Lynchburg, Mark Warner, Democrat, 53
Madison, Mark Earley, Republican, 53.1
Manassas, Mark Earley, Republican, 53.8
Manassas Park, Mark Earley, Republican, 52.9
Martinsville, Mark Warner, Democrat, 67
Mathews, Mark Earley, Republican, 52.4
Mecklenburg, Mark Earley, Republican, 51.7
Middlesex, Mark Earley, Republican, 50.4
Montgomery, Mark Warner, Democrat, 55.7
Nelson, Mark Warner, Democrat, 59.4
New Kent, Mark Earley, Republican, 53.5
Newport News, Mark Warner, Democrat, 57
Norfolk, Mark Warner, Democrat, 65.2
Northampton, Mark Warner, Democrat, 64.2
Northumberland, Mark Warner, Democrat, 49.7
Norton, Mark Warner, Democrat, 67.6
Nottoway, Mark Warner, Democrat, 57.4
Orange, Mark Earley, Republican, 51.3
Page, Mark Earley, Republican, 57.2
Patrick, Mark Earley, Republican, 50.6
Petersburg, Mark Warner, Democrat, 82
Pittsylvania, Mark Earley, Republican, 56
Poquoson, Mark Earley, Republican, 63.7
Portsmouth, Mark Warner, Democrat, 65.7
Powhatan, Mark Earley, Republican, 62.4
Prince Edward, Mark Warner, Democrat, 58.6
Prince George, Mark Earley, Republican, 54.2
Prince William, Mark Earley, Republican, 52.4
Pulaski, Mark Warner, Democrat, 53
Radford, Mark Warner, Democrat, 58.9
Rappahannock, Mark Earley, Republican, 51.2
Richmond County, Mark Earley, Republican, 50.1
Richmond City, Mark Warner, Democrat, 73.3
Roanoke County, Mark Earley, Republican, 52.4
Roanoke City, Mark Warner, Democrat, 62.1
Rockbridge, Mark Warner, Democrat, 50.3
Rockingham, Mark Earley, Republican, 63.5
Russell, Mark Warner, Democrat, 60.4
Salem, Mark Warner, Democrat, 49.7
Scott, Mark Earley, Republican, 56.1
Shenandoah, Mark Earley, Republican, 59.1
Smyth, Mark Warner, Democrat, 51.4
Southampton, Mark Warner, Democrat, 60.2
Spotsylvania, Mark Earley, Republican, 53.8
Stafford, Mark Earley, Republican, 56.1
Staunton, Mark Earley, Republican, 50.6
Suffolk, Mark Warner, Democrat, 53.1
Surry, Mark Warner, Democrat, 65.5
Sussex, Mark Warner, Democrat, 61.6
Tazewell, Mark Warner, Democrat, 54.3
Virginia Beach, Mark Earley, Republican, 53
Warren, Mark Earley, Republican, 54.2
Washington, Mark Earley, Republican, 53.8
Waynesboro, Mark Earley, Republican, 56.5
Westmoreland, Mark Warner, Democrat, 57.6
Williamsburg, Mark Warner, Democrat, 57.5
Winchester, Mark Warner, Democrat, 51.4
Wise, Mark Warner, Democrat, 58.5
Wythe, Mark Earley, Republican, 50.7
York, Mark Earley, Republican, 54.3
