Adair, Dwight D Eisenhower, Republican, 62.5
Todd, Adlai Stevenson, Democrat, 67.33
Trigg, Adlai Stevenson, Democrat, 65.29
Trimble, Adlai Stevenson, Democrat, 77.58
Union, Adlai Stevenson, Democrat, 55.13
Warren, Dwight D Eisenhower, Republican, 53.06
Washington, Dwight D Eisenhower, Republican, 54.71
Wayne, Dwight D Eisenhower, Republican, 61.15
Webster, Adlai Stevenson, Democrat, 58.06
Whitley, Dwight D Eisenhower, Republican, 74.33
Wolfe, Adlai Stevenson, Democrat, 61.38
Woodford, Dwight D Eisenhower, Republican, 50.97
