Accomack, George C Wallace, Dixiecrat, 37.69
Charlottesville City, Richard M Nixon, Republican, 49.41
Chesapeake City, George C Wallace, Dixiecrat, 44.77
Clifton Forge City, Richard M Nixon, Republican, 43.59
Colonial Heights City, Richard M Nixon, Republican, 48.96
Covington City, Richard M Nixon, Republican, 43.14
Danville City, Richard M Nixon, Republican, 40.27
Emporia City, Richard M Nixon, Republican, 37.06
Fairfax City, Richard M Nixon, Republican, 48.7
Falls Church City, Richard M Nixon, Republican, 45.76
Franklin City, Richard M Nixon, Republican, 42.15
Fredericksburg City, Richard M Nixon, Republican, 42.27
Galax City, Richard M Nixon, Republican, 54.44
Hampton City, Hubert H Humphrey, Democrat, 34.68
Harrisonburg City, Richard M Nixon, Republican, 65.69
Hopewell City, Richard M Nixon, Republican, 43.63
Lexington City, Richard M Nixon, Republican, 56.12
Lynchburg City, Richard M Nixon, Republican, 54.34
Martinsville City, Hubert H Humphrey, Democrat, 37.48
Newport News City, Hubert H Humphrey, Democrat, 36.07
Norfolk City, Hubert H Humphrey, Democrat, 43.26
Norton City, Hubert H Humphrey, Democrat, 43.8
Petersburg City, Hubert H Humphrey, Democrat, 49.41
Portsmouth City, Hubert H Humphrey, Democrat, 42.09
Radford City, Richard M Nixon, Republican, 55.4
Richmond City, Hubert H Humphrey, Democrat, 49.28
Roanoke City, Richard M Nixon, Republican, 51.21
Salem City, Richard M Nixon, Republican, 57.77
South Boston City, Richard M Nixon, Republican, 50.17
Staunton City, Richard M Nixon, Republican, 61.4
Suffolk City, Richard M Nixon, Republican, 37.95
Virginia Beach City, Richard M Nixon, Republican, 43.23
Waynesboro City, Richard M Nixon, Republican, 61.38
Williamsburg City, Richard M Nixon, Republican, 46.73
Winchester City, Richard M Nixon, Republican, 55.76
