Accomack, Oliver North, Republican, 51.7
Clifton Forge City, Chuck Robb, Democrat, 53.7
Colonial Heights City, Oliver North, Republican, 65.1
Covington City, Chuck Robb, Democrat, 52.1
Danville City, Oliver North, Republican, 52.2
Emporia City, Chuck Robb, Democrat, 46.4
Fairfax City, Chuck Robb, Democrat, 48.6
Falls Church City, Chuck Robb, Democrat, 63.8
Franklin City, Chuck Robb, Democrat, 56.7
Fredericksburg City, Chuck Robb, Democrat, 51.1
Galax City, Oliver North, Republican, 46.2
Hampton City, Chuck Robb, Democrat, 57
Harrisonburg City, Oliver North, Republican, 53
Hopewell City, Oliver North, Republican, 52.4
Lexington City, Chuck Robb, Democrat, 56.9
Lynchburg City, Chuck Robb, Democrat, 47.7
Manassas City, Oliver North, Republican, 49
Manassas Park City, Oliver North, Republican, 54.7
Martinsville City, Chuck Robb, Democrat, 50.4
Newport News City, Chuck Robb, Democrat, 52.3
Norfolk City, Chuck Robb, Democrat, 63.5
Norton City, Chuck Robb, Democrat, 53.1
Petersburg City, Chuck Robb, Democrat, 72.4
Poquoson City, Oliver North, Republican, 54.5
Portsmouth City, Chuck Robb, Democrat, 63
Radford City, Chuck Robb, Democrat, 48.3
Richmond City, Chuck Robb, Democrat, 65.6
Roanoke City, Chuck Robb, Democrat, 54.2
Salem City, Oliver North, Republican, 43.7
South Boston City, Oliver North, Republican, 53.1
Staunton City, Oliver North, Republican, 54.5
Suffolk City, Chuck Robb, Democrat, 52.1
Virginia Beach City, Oliver North, Republican, 44.2
Waynesboro City, Oliver North, Republican, 51.1
Williamsburg City, Chuck Robb, Democrat, 60
Winchester City, Oliver North, Republican, 46.7
