Appling, George W. Bush, Republican, 70.56
Hart, George W. Bush, Republican, 60.97
Heard, George W. Bush, Republican, 70.49
Henry, George W. Bush, Republican, 66.65
Houston, George W. Bush, Republican, 66.14
Irwin, George W. Bush, Republican, 68.75
Jackson, George W. Bush, Republican, 77.99
Jasper, George W. Bush, Republican, 66.6
Jeff Davis, George W. Bush, Republican, 73.27
Jefferson, John Kerry, Democrat, 52.75
Jenkins, George W. Bush, Republican, 55.77
Johnson, George W. Bush, Republican, 64.14
Jones, George W. Bush, Republican, 63.98
Lamar, George W. Bush, Republican, 62.01
Lanier, George W. Bush, Republican, 63.51
Laurens, George W. Bush, Republican, 63.14
Lee, George W. Bush, Republican, 78.76
Liberty, John Kerry, Democrat, 51.71
Lincoln, George W. Bush, Republican, 63.14
Long, George W. Bush, Republican, 65.68
Lowndes, George W. Bush, Republican, 60.02
Lumpkin, George W. Bush, Republican, 75.55
McDuffie, George W. Bush, Republican, 62.34
McIntosh, George W. Bush, Republican, 52.75
Macon, John Kerry, Democrat, 60.83
Madison, George W. Bush, Republican, 73.77
Marion, George W. Bush, Republican, 56.57
Meriwether, George W. Bush, Republican, 54.03
Miller, George W. Bush, Republican, 69.4
Mitchell, George W. Bush, Republican, 53.46
Monroe, George W. Bush, Republican, 66.67
Montgomery, George W. Bush, Republican, 67.87
Morgan, George W. Bush, Republican, 67.69
Murray, George W. Bush, Republican, 72.46
Muscogee, John Kerry, Democrat, 51.4
Newton, George W. Bush, Republican, 62.04
Oconee, George W. Bush, Republican, 72.52
Oglethorpe, George W. Bush, Republican, 65.53
Paulding, George W. Bush, Republican, 76.22
Peach, George W. Bush, Republican, 53.29
Pickens, George W. Bush, Republican, 76.36
Pierce, George W. Bush, Republican, 79.01
Pike, George W. Bush, Republican, 77.04
Polk, George W. Bush, Republican, 68.31
Pulaski, George W. Bush, Republican, 62.72
Putnam, George W. Bush, Republican, 63.99
Quitman, John Kerry, Democrat, 56.27
Rabun, George W. Bush, Republican, 70.19
Randolph, John Kerry, Democrat, 52.9
Richmond, John Kerry, Democrat, 56.67
Rockdale, George W. Bush, Republican, 60.52
Schley, George W. Bush, Republican, 69.48
Screven, George W. Bush, Republican, 56.73
Seminole, George W. Bush, Republican, 60.38
Spalding, George W. Bush, Republican, 64.08
Stephens, George W. Bush, Republican, 71.47
Stewart, John Kerry, Democrat, 60.07
Sumter, George W. Bush, Republican, 50.39
Talbot, John Kerry, Democrat, 62.18
Taliaferro, John Kerry, Democrat, 64.35
Tattnall, George W. Bush, Republican, 72.06
Taylor, George W. Bush, Republican, 56.55
Telfair, George W. Bush, Republican, 57.51
Terrell, John Kerry, Democrat, 51.02
Thomas, George W. Bush, Republican, 61.5
Tift, George W. Bush, Republican, 68.84
Toombs, George W. Bush, Republican, 70.31
Towns, George W. Bush, Republican, 72.45
Treutlen, George W. Bush, Republican, 61.36
Troup, George W. Bush, Republican, 64.73
Turner, George W. Bush, Republican, 61.32
Twiggs, John Kerry, Democrat, 50.86
Union, George W. Bush, Republican, 74.22
Upson, George W. Bush, Republican, 65.77
Walker, George W. Bush, Republican, 71.51
Walton, George W. Bush, Republican, 78.17
Ware, George W. Bush, Republican, 69.05
Warren, John Kerry, Democrat, 54.64
Washington, George W. Bush, Republican, 52.01
Wayne, George W. Bush, Republican, 71.46
Webster, John Kerry, Democrat, 51.29
Wheeler, George W. Bush, Republican, 58.17
White, George W. Bush, Republican, 78.07
Whitfield, George W. Bush, Republican, 73.22
Wilcox, George W. Bush, Republican, 65.25
Wilkes, George W. Bush, Republican, 54.81
Wilkinson, George W. Bush, Republican, 50.09
Worth, George W. Bush, Republican, 69.47
