Accomack, George W. Bush, Republican, 57.85
Charlottesville, John Kerry, Democrat, 71.77
Chesapeake, George W. Bush, Republican, 57.11
Colonial Heights, George W. Bush, Republican, 74.46
Covington, John Kerry, Democrat, 51.24
Danville, John Kerry, Democrat, 49.37
Emporia, John Kerry, Democrat, 56.15
Fairfax City, John Kerry, Democrat, 51.16
Falls Church, John Kerry, Democrat, 64.68
Franklin City, John Kerry, Democrat, 54.02
Fredericksburg, John Kerry, Democrat, 54.16
Galax, George W. Bush, Republican, 57.22
Hampton, John Kerry, Democrat, 57.44
Harrisonburg, George W. Bush, Republican, 55.89
Hopewell, George W. Bush, Republican, 53.57
Lexington, John Kerry, Democrat, 57.05
Lynchburg, George W. Bush, Republican, 54.67
Manassas, George W. Bush, Republican, 56.24
Manassas Park, George W. Bush, Republican, 54.23
Martinsville, John Kerry, Democrat, 54.19
Newport News, John Kerry, Democrat, 51.98
Norfolk, John Kerry, Democrat, 61.67
Norton, George W. Bush, Republican, 51.06
Petersburg, John Kerry, Democrat, 81.03
Poquoson, George W. Bush, Republican, 77.22
Portsmouth, John Kerry, Democrat, 60.99
Radford, George W. Bush, Republican, 52.92
Richmond City, John Kerry, Democrat, 70.19
Roanoke City, John Kerry, Democrat, 52.39
Salem, George W. Bush, Republican, 61.96
Staunton, George W. Bush, Republican, 60.29
Suffolk, George W. Bush, Republican, 52.08
Virginia Beach, George W. Bush, Republican, 59.06
Waynesboro, George W. Bush, Republican, 63.95
Williamsburg, John Kerry, Democrat, 51.3
Winchester, George W. Bush, Republican, 56.55
