Anderson, Richard M Nixon, Republican, 52.16
Crane, John F Kennedy, Democrat, 54.08
Crockett, Richard M Nixon, Republican, 54.93
Crosby, John F Kennedy, Democrat, 66.46
Culberson, John F Kennedy, Democrat, 52.77
Dallam, Richard M Nixon, Republican, 53.15
Dallas, Richard M Nixon, Republican, 62.16
Dawson, Richard M Nixon, Republican, 50.89
Deaf Smith, Richard M Nixon, Republican, 60.44
Delta, John F Kennedy, Democrat, 74.24
Denton, Richard M Nixon, Republican, 51.48
DeWitt, Richard M Nixon, Republican, 54.94
Dickens, John F Kennedy, Democrat, 66.89
Dimmit, John F Kennedy, Democrat, 57.64
Donley, Richard M Nixon, Republican, 55.29
Duval, John F Kennedy, Democrat, 82.42
Eastland, Richard M Nixon, Republican, 52.09
Ector, Richard M Nixon, Republican, 53.91
Edwards, Richard M Nixon, Republican, 72.46
Ellis, John F Kennedy, Democrat, 61.21
El Paso, John F Kennedy, Democrat, 54.59
Erath, Richard M Nixon, Republican, 51.69
Falls, John F Kennedy, Democrat, 68.46
Fannin, John F Kennedy, Democrat, 69.76
Fayette, John F Kennedy, Democrat, 60.75
Fisher, John F Kennedy, Democrat, 74.05
Floyd, Richard M Nixon, Republican, 51.94
Foard, John F Kennedy, Democrat, 72.66
Fort Bend, John F Kennedy, Democrat, 56.27
Franklin, John F Kennedy, Democrat, 64.71
Freestone, John F Kennedy, Democrat, 54.71
Frio, John F Kennedy, Democrat, 59.66
Gaines, Richard M Nixon, Republican, 49.98
Galveston, John F Kennedy, Democrat, 58.64
Garza, John F Kennedy, Democrat, 52.6
Gillespie, Richard M Nixon, Republican, 76.62
Glasscock, John F Kennedy, Democrat, 56.56
Goliad, Richard M Nixon, Republican, 50.93
Gonzales, John F Kennedy, Democrat, 63.62
Gray, Richard M Nixon, Republican, 68.76
Grayson, John F Kennedy, Democrat, 57.26
Gregg, Richard M Nixon, Republican, 56.99
Grimes, John F Kennedy, Democrat, 61.66
Guadalupe, Richard M Nixon, Republican, 53.88
Hale, Richard M Nixon, Republican, 56.07
Hall, John F Kennedy, Democrat, 55.88
Hamilton, Richard M Nixon, Republican, 58.17
Hansford, Richard M Nixon, Republican, 71.89
Hardeman, Richard M Nixon, Republican, 55.44
Hardin, John F Kennedy, Democrat, 66.89
Harris, Richard M Nixon, Republican, 51.68
Harrison, John F Kennedy, Democrat, 51.36
Hartley, Richard M Nixon, Republican, 50.67
Haskell, John F Kennedy, Democrat, 76.05
Hays, John F Kennedy, Democrat, 64.39
Hemphill, Richard M Nixon, Republican, 71.72
Henderson, John F Kennedy, Democrat, 57.14
Hidalgo, John F Kennedy, Democrat, 57.59
Hill, John F Kennedy, Democrat, 65.83
Hockley, John F Kennedy, Democrat, 59.15
Hood, John F Kennedy, Democrat, 56.61
Hopkins, John F Kennedy, Democrat, 60.26
Houston, John F Kennedy, Democrat, 61.67
Howard, John F Kennedy, Democrat, 58.12
Hudspeth, John F Kennedy, Democrat, 59.71
Hunt, John F Kennedy, Democrat, 49.94
Hutchinson, Richard M Nixon, Republican, 65.99
Irion, John F Kennedy, Democrat, 50.51
Jack, Richard M Nixon, Republican, 55.18
Jackson, John F Kennedy, Democrat, 57.1
Jasper, John F Kennedy, Democrat, 58.64
Jeff Davis, John F Kennedy, Democrat, 51.18
Jefferson, John F Kennedy, Democrat, 57.63
Jim Hogg, John F Kennedy, Democrat, 84.85
Jim Wells, John F Kennedy, Democrat, 65.71
Johnson, Richard M Nixon, Republican, 53.49
Jones, John F Kennedy, Democrat, 55.6
Karnes, John F Kennedy, Democrat, 62.57
Kaufman, John F Kennedy, Democrat, 52.15
Kendall, Richard M Nixon, Republican, 73.52
Kenedy, John F Kennedy, Democrat, 51.32
Kent, John F Kennedy, Democrat, 70.34
Kerr, Richard M Nixon, Republican, 70.76
Kimble, Richard M Nixon, Republican, 55.79
King, John F Kennedy, Democrat, 76.88
Kinney, John F Kennedy, Democrat, 62.92
Kleberg, John F Kennedy, Democrat, 64.32
Knox, John F Kennedy, Democrat, 65.06
Lamar, John F Kennedy, Democrat, 56.02
Lamb, John F Kennedy, Democrat, 51.42
Lampasas, John F Kennedy, Democrat, 52.59
La Salle, John F Kennedy, Democrat, 68.64
Lavaca, John F Kennedy, Democrat, 72.47
Lee, John F Kennedy, Democrat, 55.85
Leon, John F Kennedy, Democrat, 67.18
Liberty, John F Kennedy, Democrat, 53.12
Limestone, John F Kennedy, Democrat, 63
Lipscomb, Richard M Nixon, Republican, 77.67
Live Oak, Richard M Nixon, Republican, 57.52
Llano, John F Kennedy, Democrat, 61.47
Loving, John F Kennedy, Democrat, 48.42
Lubbock, Richard M Nixon, Republican, 56.35
Lynn, John F Kennedy, Democrat, 65.85
McCulloch, John F Kennedy, Democrat, 57.46
McLennan, John F Kennedy, Democrat, 57.17
McMullen, Richard M Nixon, Republican, 50.1
Madison, John F Kennedy, Democrat, 58.57
Marion, John F Kennedy, Democrat, 53.46
Martin, John F Kennedy, Democrat, 69.08
Mason, Richard M Nixon, Republican, 58.79
Matagorda, Richard M Nixon, Republican, 49.6
Maverick, John F Kennedy, Democrat, 70.03
Medina, John F Kennedy, Democrat, 53.23
Menard, Richard M Nixon, Republican, 55.32
Midland, Richard M Nixon, Republican, 64.28
Milam, John F Kennedy, Democrat, 65.51
Mills, Richard M Nixon, Republican, 53.63
Mitchell, John F Kennedy, Democrat, 63.61
Montague, John F Kennedy, Democrat, 52.54
Montgomery, John F Kennedy, Democrat, 50.6
Moore, Richard M Nixon, Republican, 61.19
Morris, John F Kennedy, Democrat, 55.08
Motley, Richard M Nixon, Republican, 51.5
Nacogdoches, John F Kennedy, Democrat, 52.32
Navarro, John F Kennedy, Democrat, 62.24
Newton, John F Kennedy, Democrat, 70.08
Nolan, John F Kennedy, Democrat, 57.22
Nueces, John F Kennedy, Democrat, 60.7
Ochiltree, Richard M Nixon, Republican, 78.11
Oldham, John F Kennedy, Democrat, 50.7
Orange, John F Kennedy, Democrat, 62.02
Palo Pinto, John F Kennedy, Democrat, 52.63
Panola, Richard M Nixon, Republican, 50.11
Parker, John F Kennedy, Democrat, 50.77
Parmer, Richard M Nixon, Republican, 60.09
Pecos, John F Kennedy, Democrat, 54.44
Polk, John F Kennedy, Democrat, 60.63
Potter, Richard M Nixon, Republican, 61.14
Presidio, John F Kennedy, Democrat, 69.39
Rains, John F Kennedy, Democrat, 62.9
Randall, Richard M Nixon, Republican, 67.76
Reagan, John F Kennedy, Democrat, 54.91
Real, Richard M Nixon, Republican, 57.73
Red River, John F Kennedy, Democrat, 64.94
Reeves, John F Kennedy, Democrat, 58.48
Refugio, John F Kennedy, Democrat, 62.53
Roberts, Richard M Nixon, Republican, 76.18
Robertson, John F Kennedy, Democrat, 73.81
Rockwall, John F Kennedy, Democrat, 57.93
Runnels, Richard M Nixon, Republican, 52.22
Rusk, Richard M Nixon, Republican, 55.36
Sabine, John F Kennedy, Democrat, 65.55
San Augustine, John F Kennedy, Democrat, 64.68
San Jacinto, John F Kennedy, Democrat, 71.02
San Patricio, John F Kennedy, Democrat, 62.52
San Saba, John F Kennedy, Democrat, 59.35
Schleicher, Richard M Nixon, Republican, 56.24
Scurry, John F Kennedy, Democrat, 57.09
Shackelford, John F Kennedy, Democrat, 51.04
Shelby, John F Kennedy, Democrat, 65.41
Sherman, Richard M Nixon, Republican, 69.08
Smith, Richard M Nixon, Republican, 57.84
Somervell, Richard M Nixon, Republican, 55.13
Starr, John F Kennedy, Democrat, 93.49
Stephens, Richard M Nixon, Republican, 54.94
Sterling, John F Kennedy, Democrat, 51.47
Stonewall, John F Kennedy, Democrat, 73.66
Sutton, John F Kennedy, Democrat, 52.03
Swisher, John F Kennedy, Democrat, 57.27
Tarrant, Richard M Nixon, Republican, 54.75
Taylor, Richard M Nixon, Republican, 56.62
Terrell, John F Kennedy, Democrat, 54.49
Terry, John F Kennedy, Democrat, 53.75
Throckmorton, John F Kennedy, Democrat, 60.76
Titus, John F Kennedy, Democrat, 54.61
Tom Green, Richard M Nixon, Republican, 53.63
Travis, John F Kennedy, Democrat, 54.85
Trinity, John F Kennedy, Democrat, 67.18
Tyler, Richard M Nixon, Republican, 52.75
Upshur, John F Kennedy, Democrat, 58.48
Upton, John F Kennedy, Democrat, 52.84
Uvalde, Richard M Nixon, Republican, 62.33
Val Verde, John F Kennedy, Democrat, 56.87
Van Zandt, John F Kennedy, Democrat, 56.88
Victoria, John F Kennedy, Democrat, 55.58
Walker, John F Kennedy, Democrat, 50.85
Waller, Richard M Nixon, Republican, 49.18
Ward, John F Kennedy, Democrat, 52.39
Washington, Richard M Nixon, Republican, 58.21
Webb, John F Kennedy, Democrat, 84.78
Wharton, John F Kennedy, Democrat, 59.16
Wheeler, Richard M Nixon, Republican, 58.43
Wichita, John F Kennedy, Democrat, 53.6
Wilbarger, Richard M Nixon, Republican, 54.51
Willacy, John F Kennedy, Democrat, 60.48
Williamson, John F Kennedy, Democrat, 68.74
Wilson, John F Kennedy, Democrat, 69.88
Winkler, John F Kennedy, Democrat, 50.48
Wise, Richard M Nixon, Republican, 50.72
Wood, John F Kennedy, Democrat, 51.51
Yoakum, Richard M Nixon, Republican, 54.49
Young, John F Kennedy, Democrat, 53.65
Zapata, John F Kennedy, Democrat, 72.19
Zavala, Richard M Nixon, Republican, 51.59
