Accomack, Bill Clinton, Democrat, 44.79
Smyth, Bill Clinton, Democrat, 42.95
Southampton, Bill Clinton, Democrat, 51.44
Spotsylvania, Bob Dole, Republican, 52.62
Stafford, Bob Dole, Republican, 54.04
Surry, Bill Clinton, Democrat, 59.67
Sussex, Bill Clinton, Democrat, 55.09
Tazewell, Bill Clinton, Democrat, 48.58
Warren, Bob Dole, Republican, 48.25
Washington, Bob Dole, Republican, 50.07
Westmoreland, Bill Clinton, Democrat, 50.95
Wise, Bill Clinton, Democrat, 51.27
Wythe, Bob Dole, Republican, 49.99
York, Bob Dole, Republican, 54.95
Alexandria City, Bill Clinton, Democrat, 61.6
Bedford City, Bill Clinton, Democrat, 46.08
Bristol City, Bob Dole, Republican, 49.5
Buena Vista City, Bill Clinton, Democrat, 52.99
Charlottesville City, Bill Clinton, Democrat, 61.9
Chesapeake City, Bob Dole, Republican, 46.66
Clifton Forge City, Bill Clinton, Democrat, 59.35
Colonial Heights City, Bob Dole, Republican, 66.62
Covington City, Bill Clinton, Democrat, 56.83
Danville City, Bob Dole, Republican, 49.97
Emporia City, Bill Clinton, Democrat, 53.7
Fairfax City, Bob Dole, Republican, 49.39
Falls Church City, Bill Clinton, Democrat, 55.44
Franklin City, Bill Clinton, Democrat, 57.96
Fredericksburg City, Bill Clinton, Democrat, 52.16
Galax City, Bill Clinton, Democrat, 47.36
Hampton City, Bill Clinton, Democrat, 55.03
Harrisonburg City, Bob Dole, Republican, 55.33
Hopewell City, Bob Dole, Republican, 49.46
Lexington City, Bill Clinton, Democrat, 51.78
Lynchburg City, Bob Dole, Republican, 49.72
Manassas City, Bob Dole, Republican, 52.91
Manassas Park City, Bob Dole, Republican, 49.84
Martinsville City, Bill Clinton, Democrat, 50.34
Newport News City, Bill Clinton, Democrat, 50.98
Norfolk City, Bill Clinton, Democrat, 62.63
Norton City, Bill Clinton, Democrat, 58.03
Petersburg City, Bill Clinton, Democrat, 74.43
Poquoson City, Bob Dole, Republican, 64.86
Portsmouth City, Bill Clinton, Democrat, 62.55
Radford City, Bill Clinton, Democrat, 49.33
Richmond City, Bill Clinton, Democrat, 63.02
Roanoke City, Bill Clinton, Democrat, 53.98
Salem City, Bob Dole, Republican, 48.97
Staunton City, Bob Dole, Republican, 53.66
Suffolk City, Bill Clinton, Democrat, 52.17
Virginia Beach City, Bob Dole, Republican, 50.61
Waynesboro City, Bob Dole, Republican, 52.71
Williamsburg City, Bill Clinton, Democrat, 50.67
Winchester City, Bob Dole, Republican, 50.97
